ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
ugaritic-40_tosee-1-1,ugaritic-40_tosee-1,ʕn,19,false,expert,,,,
hebrew-41_eyeappearancelookspring-1-1,hebrew-41_eyeappearancelookspring-1,ʕajin,19,false,expert,,,,
syriac-42_eyespringbudbulbappearancesurface-1-1,syriac-42_eyespringbudbulbappearancesurface-1,ʕajnaː,19,false,expert,,,,
arabic-39_eye-1-1,arabic-39_eye-1,ʕajn-,19,false,expert,,,,
geez-39_eye-1-1,geez-39_eye-1,ʕajn,19,false,expert,,,,
ps-43_full-1-1,ps-43_full-1,mlʔ,20,false,expert,,,,
akkadian-44_fullcoveredcomplete-1-1,akkadian-44_fullcoveredcomplete-1,malû,20,false,expert,,,,
ugaritic-43_full-1-1,ugaritic-43_full-1,mlʔ,20,false,expert,,,,
hebrew-43_full-1-1,hebrew-43_full-1,maːleː,20,false,expert,,,,
syriac-43_full-1-1,syriac-43_full-1,mle,20,false,expert,,,,
syriac-45_tofillup-1-1,syriac-45_tofillup-1,mlj,20,false,expert,,,,
geez-43_full-1-1,geez-43_full-1,məluʔ,20,false,expert,,,,
ps-46_hair-1-1,ps-46_hair-1,ɬaʕr-,21,false,expert,,,,
akkadian-46_hair-1-1,akkadian-46_hair-1,ʃaːrtu,21,false,expert,,,,
ugaritic-47_wool-1-1,ugaritic-47_wool-1,ʃʕrt,21,false,expert,,,,
hebrew-48_hairinessbodyhairhairycovering-1-1,hebrew-48_hairinessbodyhairhairycovering-1,ɬeːʕaːr,21,false,expert,,,,
syriac-49_hairfeathers-1-1,syriac-49_hairfeathers-1,saʕraː,21,false,expert,,,,
arabic-46_hair-1-1,arabic-46_hair-1,ʃaʕr-,21,false,expert,,,,
geez-50_hairofbodyorhead-1-1,geez-50_hairofbodyorhead-1,ɬəʕərt,21,false,expert,,,,
ps-51_hand-1-1,ps-51_hand-1,jad-,23,false,expert,,,,
akkadian-52_armsideedgeborder-1-1,akkadian-52_armsideedgeborder-1,idu,23,false,expert,,,,
ugaritic-51_hand-1-1,ugaritic-51_hand-1,jd,23,false,expert,,,,
hebrew-53_forearmhandpowerviolencepossession-1-1,hebrew-53_forearmhandpowerviolencepossession-1,jaːd,23,false,expert,,,,
syriac-54_handarmforepawpower-1-1,syriac-54_handarmforepawpower-1,ʔidaː,23,false,expert,,,,
geez-51_hand-1-1,geez-51_hand-1,ʔəd,23,false,expert,,,,
ps-55_head-1-1,ps-55_head-1,raʔʃ-,24,false,expert,,,,
akkadian-56_headservantslavetopsummitbeginning-1-1,akkadian-56_headservantslavetopsummitbeginning-1,reːʃu,24,false,expert,,,,
ugaritic-55_head-1-1,ugaritic-55_head-1,rʔiʃ,24,false,expert,,,,
hebrew-57_headpersonbeginningleaderchief-1-1,hebrew-57_headpersonbeginningleaderchief-1,roːʃ,24,false,expert,,,,
syriac-58_headtopsummitpointbeginning-1-1,syriac-58_headtopsummitpointbeginning-1,reʃaː,24,false,expert,,,,
arabic-55_head-1-1,arabic-55_head-1,raʔs-,24,false,expert,,,,
geez-55_head-1-1,geez-55_head-1,rəʔs,24,false,expert,,,,
ps-59_skull-1-1,ps-59_skull-1,qˤ-dqˤ-d-,25,false,expert,,,,
akkadian-55_head-1-1,akkadian-55_head-1,qˤaqˤqˤadu,25,false,expert,,,,
ugaritic-60_skullcrown-1-1,ugaritic-60_skullcrown-1,qˤdqˤd,25,false,expert,,,,
hebrew-59_skull-1-1,hebrew-59_skull-1,qˤodqˤoːd,25,false,expert,,,,
arabic-61_partofthebackoftheneckthatisbetweentheears-1-1,arabic-61_partofthebackoftheneckthatisbetweentheears-1,maqadd-,25,false,expert,,,,
ps-62_tohear-1-1,ps-62_tohear-1,ʃmʕ,26,false,expert,,,,
akkadian-63_toheartolistentoobey-1-1,akkadian-63_toheartolistentoobey-1,ʃemû,26,false,expert,,,,
ugaritic-62_tohear-1-1,ugaritic-62_tohear-1,ʃmʕ,26,false,expert,,,,
hebrew-64_toheartoobeytounderstand-1-1,hebrew-64_toheartoobeytounderstand-1,ʃmʕ,26,false,expert,,,,
syriac-65_tohearlistentotohearkentoobey-1-1,syriac-65_tohearlistentotohearkentoobey-1,ʃmʕ,26,false,expert,,,,
geez-62_tohear-1-1,geez-62_tohear-1,samʕa,26,false,expert,,,,
ps-66_heart-1-1,ps-66_heart-1,libb-,27,false,expert,,,,
akkadian-66_heart-1-1,akkadian-66_heart-1,libbu,27,false,expert,,,,
ugaritic-66_heart-1-1,ugaritic-66_heart-1,lb,27,false,expert,,,,
hebrew-67_heartonesinnerselfinclinationdispositionwillintentionreason-1-1,hebrew-67_heartonesinnerselfinclinationdispositionwillintentionreason-1,leːb,27,false,expert,,,,
syriac-68_heartinsideofthebodycenterpithinsidecake-1-1,syriac-68_heartinsideofthebodycenterpithinsidecake-1,lebbaː,27,false,expert,,,,
arabic-69_whatisintheinsideunderstandingintelligencemind-1-1,arabic-69_whatisintheinsideunderstandingintelligencemind-1,lubb-,27,false,expert,,,,
geez-70_heartmind-1-1,geez-70_heartmind-1,ləbb,27,false,expert,,,,
ps-71_heartmiddleofthebody-1-1,ps-71_heartmiddleofthebody-1,qˤalb-,28,false,expert,,,,
akkadian-72_middlecentermiddlepart-1-1,akkadian-72_middlecentermiddlepart-1,qˤablu,28,false,expert,,,,
arabic-66_heart-1-1,arabic-66_heart-1,qalb-,28,false,expert,,,,
geez-73_thoughtwish-1-1,geez-73_thoughtwish-1,qˤalb,28,false,expert,,,,
ps-74_horn-1-1,ps-74_horn-1,qˤarn-,29,false,expert,,,,
akkadian-74_horn-1-1,akkadian-74_horn-1,qˤarnu,29,false,expert,,,,
ugaritic-74_horn-1-1,ugaritic-74_horn-1,qˤrn,29,false,expert,,,,
hebrew-74_horn-1-1,hebrew-74_horn-1,qˤæræn,29,false,expert,,,,
syriac-74_horn-1-1,syriac-74_horn-1,qˤarnaː,29,false,expert,,,,
arabic-74_horn-1-1,arabic-74_horn-1,qarn-,29,false,expert,,,,
geez-74_horn-1-1,geez-74_horn-1,qˤarn,29,false,expert,,,,
ps-75_i-1-1,ps-75_i-1,ʔanaːku,30,false,expert,,,,
akkadian-75_i-1-1,akkadian-75_i-1,anaːku,30,false,expert,,,,
ugaritic-75_i-1-1,ugaritic-75_i-1,ʔan,30,false,expert,,,,
hebrew-75_i-1-1,hebrew-75_i-1,ʔăniː,30,false,expert,,,,
hebrew-75_i-2-1,hebrew-75_i-2,ʔaːnoːkiː,30,false,expert,,,,
syriac-75_i-1-1,syriac-75_i-1,ʔenaː,30,false,expert,,,,
arabic-75_i-1-1,arabic-75_i-1,ʔana,30,false,expert,,,,
geez-75_i-1-1,geez-75_i-1,ʔana,30,false,expert,,,,
ps-76_knee-1-1,ps-76_knee-1,bi,31,false,expert,,,,
akkadian-77_kneelap-1-1,akkadian-77_kneelap-1,birku,31,false,expert,,,,
ugaritic-76_knee-1-1,ugaritic-76_knee-1,brk,31,false,expert,,,,
hebrew-76_knee-1-1,hebrew-76_knee-1,bæræk,31,false,expert,,,,
syriac-78_kneebowingdowngenuflectionmiddlepartofplow-1-1,syriac-78_kneebowingdowngenuflectionmiddlepartofplow-1,burkaː,31,false,expert,,,,
arabic-79_tokneel-1-1,arabic-79_tokneel-1,baːrikat-,31,false,expert,,,,
geez-76_knee-1-1,geez-76_knee-1,bərk,31,false,expert,,,,
ps-80_liver-1-1,ps-80_liver-1,kabid-,33,false,expert,,,,
akkadian-81_emotionsthoughtmindspirit-1-1,akkadian-81_emotionsthoughtmindspirit-1,kabattu,33,false,expert,,,,
ugaritic-80_liver-1-1,ugaritic-80_liver-1,kbd,33,false,expert,,,,
hebrew-80_liver-1-1,hebrew-80_liver-1,kaːbeːd,33,false,expert,,,,
syriac-82_liveranger-1-1,syriac-82_liveranger-1,kabdaː,33,false,expert,,,,
arabic-83_middleinterior-1-1,arabic-83_middleinterior-1,kabid-,33,false,expert,,,,
geez-84_liverstomachbelly-1-1,geez-84_liverstomachbelly-1,kabd,33,false,expert,,,,
ps-85_intestinesentrails-1-1,ps-85_intestinesentrails-1,m-ʕaj-,34,false,expert,,,,
akkadian-86_liverexaminedbytheharuspexlivermodelomen-1-1,akkadian-86_liverexaminedbytheharuspexlivermodelomen-1,amuːtu,34,false,expert,,,,
hebrew-87_entrailsintestines-1-1,hebrew-87_entrailsintestines-1,meːʕajim,34,false,expert,,,,
syriac-88_intestines-1-1,syriac-88_intestines-1,məʕuːθaː,34,false,expert,,,,
syriac-88_intestines-2-1,syriac-88_intestines-2,məʕajjaː,34,false,expert,,,,
arabic-88_intestines-1-1,arabic-88_intestines-1,maʕj-,34,false,expert,,,,
geez-89_intestine-1-1,geez-89_intestine-1,ʔamaːʕut,34,false,expert,,,,
ps-90_mouth-1-1,ps-90_mouth-1,paj-,35,false,expert,,,,
akkadian-90_mouth-1-1,akkadian-90_mouth-1,pû,35,false,expert,,,,
ugaritic-90_mouth-1-1,ugaritic-90_mouth-1,p,35,false,expert,,,,
hebrew-91_mouthopening-1-1,hebrew-91_mouthopening-1,pæː,35,false,expert,,,,
syriac-92_mouthopeningfleshoffruitsharpedgeofsword-1-1,syriac-92_mouthopeningfleshoffruitsharpedgeofsword-1,puːmaː,35,false,expert,,,,
arabic-90_mouth-1-1,arabic-90_mouth-1,fam-,35,false,expert,,,,
geez-90_mouth-1-1,geez-90_mouth-1,ʔaf,35,false,expert,,,,
ps-93_name-1-1,ps-93_name-1,ʃ-m-,37,false,expert,,,,
akkadian-93_name-1-1,akkadian-93_name-1,ʃumu,37,false,expert,,,,
ugaritic-93_name-1-1,ugaritic-93_name-1,ʃm,37,false,expert,,,,
hebrew-93_name-1-1,hebrew-93_name-1,ʃeːm,37,false,expert,,,,
syriac-94_namefamegloryperson-1-1,syriac-94_namefamegloryperson-1,ʃmaː,37,false,expert,,,,
arabic-93_name-1-1,arabic-93_name-1,ʔism-,37,false,expert,,,,
geez-93_name-1-1,geez-93_name-1,səm,37,false,expert,,,,
ps-95_new-1-1,ps-95_new-1,ħdθ,38,false,expert,,,,
akkadian-95_new-1-1,akkadian-95_new-1,eʃʃu,38,false,expert,,,,
ugaritic-95_new-1-1,ugaritic-95_new-1,ħdθ,38,false,expert,,,,
hebrew-95_new-1-1,hebrew-95_new-1,ħaːdaːʃ,38,false,expert,,,,
syriac-96_newyoung-1-1,syriac-96_newyoung-1,ħataː,38,false,expert,,,,
arabic-95_new-1-1,arabic-95_new-1,ħadiːθ-,38,false,expert,,,,
geez-95_new-1-1,geez-95_new-1,ħaddis,38,false,expert,,,,
ps-97_tocuttomakeanincision-1-1,ps-97_tocuttomakeanincision-1,gdd,39,false,expert,,,,
akkadian-98_tochop-1-1,akkadian-98_tochop-1,gadaːdu,39,false,expert,,,,
hebrew-99_tomakeincisionsupononeself-1-1,hebrew-99_tomakeincisionsupononeself-1,gdd,39,false,expert,,,,
syriac-100_tocutoff-1-1,syriac-100_tocutoff-1,gdd,39,false,expert,,,,
arabic-101_tocuttocutoff-1-1,arabic-101_tocuttocutoff-1,gdd,39,false,expert,,,,
ps-102_night-1-1,ps-102_night-1,lajlij-,42,false,expert,,,,
akkadian-103_evening-1-1,akkadian-103_evening-1,liːlâtu,42,false,expert,,,,
akkadian-104_toliedown-1-1,akkadian-104_toliedown-1,niaːlu,42,false,expert,,,,
ugaritic-102_night-1-1,ugaritic-102_night-1,ll,42,false,expert,,,,
hebrew-102_night-1-1,hebrew-102_night-1,lajil,42,false,expert,,,,
syriac-102_night-1-1,syriac-102_night-1,leljaː,42,false,expert,,,,
arabic-102_night-1-1,arabic-102_night-1,lajl-,42,false,expert,,,,
geez-102_night-1-1,geez-102_night-1,lelit,42,false,expert,,,,
ps-103_evening-1-1,ps-103_evening-1,muʃj-,43,false,expert,,,,
akkadian-102_night-1-1,akkadian-102_night-1,muʃiːtu,43,false,expert,,,,
akkadian-102_night-2-1,akkadian-102_night-2,muːʃu,43,false,expert,,,,
arabic-103_evening-1-1,arabic-103_evening-1,musj-,43,false,expert,,,,
geez-103_evening-1-1,geez-103_evening-1,məset,43,false,expert,,,,
ps-105_bone-1-1,ps-105_bone-1,ʕaθˤm-,44,false,expert,,,,
akkadian-105_bone-1-1,akkadian-105_bone-1,esˤemtu,44,false,expert,,,,
ugaritic-105_bone-1-1,ugaritic-105_bone-1,ʕθˤm,44,false,expert,,,,
hebrew-105_bone-1-1,hebrew-105_bone-1,ʕæsˤæm,44,false,expert,,,,
syriac-106_flankthighinnermostpartfamilyrace-1-1,syriac-106_flankthighinnermostpartfamilyrace-1,ʕatˤmaː,44,false,expert,,,,
syriac-105_bone-1-1,syriac-105_bone-1,tˤm,44,false,expert,,,,
arabic-105_bone-1-1,arabic-105_bone-1,ʕaðˤm-,44,false,expert,,,,
geez-105_bone-1-1,geez-105_bone-1,ʕaɬˤm,44,false,expert,,,,
ps-107_earth-1-1,ps-107_earth-1,ʔarɬˤ-,46,false,expert,,,,
akkadian-107_earth-1-1,akkadian-107_earth-1,ersˤetu,46,false,expert,,,,
ugaritic-107_earth-1-1,ugaritic-107_earth-1,ʔarsˤ,46,false,expert,,,,
hebrew-107_earth-1-1,hebrew-107_earth-1,ʔæræsˤ,46,false,expert,,,,
syriac-108_earthlandgroundfloorbottom-1-1,syriac-108_earthlandgroundfloorbottom-1,ʔarʕaː,46,false,expert,,,,
arabic-109_earthland-1-1,arabic-109_earthland-1,ʔardˤ-,46,false,expert,,,,
ps-110_soilsoftsurfaceoftheearthusedforcultivationandasabuildingmaterialsoildust-1-1,ps-110_soilsoftsurfaceoftheearthusedforcultivationandasabuildingmaterialsoildust-1,ʕapar-,48,false,expert,,,,
akkadian-111_soil-1-1,akkadian-111_soil-1,eperu,48,false,expert,,,,
ugaritic-111_soil-1-1,ugaritic-111_soil-1,ʕpr,48,false,expert,,,,
hebrew-111_soil-1-1,hebrew-111_soil-1,ʕaːpaːr,48,false,expert,,,,
syriac-112_dustearthsoil-1-1,syriac-112_dustearthsoil-1,ʕapraː,48,false,expert,,,,
arabic-111_soil-1-1,arabic-111_soil-1,ʕafar-,48,false,expert,,,,
geez-111_soil-1-1,geez-111_soil-1,ʔafar,48,false,expert,,,,
ps-113_tobedark-1-1,ps-113_tobedark-1,ɣθj,49,false,expert,,,,
akkadian-114_tobetroubledblurredordark-1-1,akkadian-114_tobetroubledblurredordark-1,eʃû,49,false,expert,,,,
arabic-115_tobecloudedtobeconfused-1-1,arabic-115_tobecloudedtobeconfused-1,ɣθj,49,false,expert,,,,
ps-116_not-1-1,ps-116_not-1,laː,50,false,expert,,,,
akkadian-117_nonot-1-1,akkadian-117_nonot-1,laː,50,false,expert,,,,
ugaritic-116_not-1-1,ugaritic-116_not-1,l,50,false,expert,,,,
hebrew-116_not-1-1,hebrew-116_not-1,loː,50,false,expert,,,,
syriac-118_no-1-1,syriac-118_no-1,laː,50,false,expert,,,,
ps-119_one-1-1,ps-119_one-1,ʔaħad-,51,false,expert,,,,
ugaritic-119_one-1-1,ugaritic-119_one-1,ʔaħd,51,false,expert,,,,
hebrew-119_one-1-1,hebrew-119_one-1,ʔæħaːd,51,false,expert,,,,
arabic-119_one-1-1,arabic-119_one-1,ʔaħad-,51,false,expert,,,,
geez-119_one-1-1,geez-119_one-1,ʔaħadu,51,false,expert,,,,
ps-120_one-1-1,ps-120_one-1,ʕaʃt-,52,false,expert,,,,
akkadian-119_one-1-1,akkadian-119_one-1,iʃteːn,52,false,expert,,,,
ugaritic-119_one-2-1,ugaritic-119_one-2,ʕʃt,52,false,expert,,,,
hebrew-121_eleven-1-1,hebrew-121_eleven-1,ʕaʃteː,52,false,expert,,,,
ps-122_seed-1-1,ps-122_seed-1,ðarʔ-,53,false,expert,,,,
akkadian-122_seed-1-1,akkadian-122_seed-1,zeːru,53,false,expert,,,,
ugaritic-122_seed-1-1,ugaritic-122_seed-1,drʕ,53,false,expert,,,,
hebrew-123_seedoffspringdescendants-1-1,hebrew-123_seedoffspringdescendants-1,zæraʕ,53,false,expert,,,,
syriac-124_seedsowingoffspringfamily-1-1,syriac-124_seedsowingoffspringfamily-1,zarʕaː,53,false,expert,,,,
syriac-122_seed-1-1,syriac-122_seed-1,bar,53,false,expert,,,,
arabic-125_tosow-1-1,arabic-125_tosow-1,ðrʔ,53,false,expert,,,,
arabic-126_tosowtocastseed-1-1,arabic-126_tosowtocastseed-1,zrʕ,53,false,expert,,,,
geez-127_seedgrain-1-1,geez-127_seedgrain-1,zarʔ,53,false,expert,,,,
geez-128_tosowtoseed-1-1,geez-128_tosowtoseed-1,zarʔa,53,false,expert,,,,
ps-129_star-1-1,ps-129_star-1,kabkab-,56,false,expert,,,,
akkadian-129_star-1-1,akkadian-129_star-1,kakkabu,56,false,expert,,,,
ugaritic-129_star-1-1,ugaritic-129_star-1,kbkb,56,false,expert,,,,
hebrew-129_star-1-1,hebrew-129_star-1,koːkaːb,56,false,expert,,,,
syriac-130_starkindofcollyrium-1-1,syriac-130_starkindofcollyrium-1,kawkbaː,56,false,expert,,,,
arabic-129_star-1-1,arabic-129_star-1,kawkab-,56,false,expert,,,,
geez-129_star-1-1,geez-129_star-1,kokab,56,false,expert,,,,
ps-131_sun-1-1,ps-131_sun-1,ɬamʃ-,57,false,expert,,,,
akkadian-131_sun-1-1,akkadian-131_sun-1,ʃamʃu,57,false,expert,,,,
ugaritic-131_sun-1-1,ugaritic-131_sun-1,ʃpʃ,57,false,expert,,,,
hebrew-131_sun-1-1,hebrew-131_sun-1,ʃæmæʃ,57,false,expert,,,,
syriac-132_suntypeoflizardgold-1-1,syriac-132_suntypeoflizardgold-1,ʃemʃaː,57,false,expert,,,,
arabic-131_sun-1-1,arabic-131_sun-1,ʃams-,57,false,expert,,,,
ps-133_tail-1-1,ps-133_tail-1,ðanab-,58,false,expert,,,,
akkadian-134_tailrearpart-1-1,akkadian-134_tailrearpart-1,zibbatu,58,false,expert,,,,
ugaritic-133_tail-1-1,ugaritic-133_tail-1,ðnb,58,false,expert,,,,
hebrew-133_tail-1-1,hebrew-133_tail-1,zaːnaːb,58,false,expert,,,,
syriac-135_tailfarthestpart-1-1,syriac-135_tailfarthestpart-1,dunbaː,58,false,expert,,,,
arabic-133_tail-1-1,arabic-133_tail-1,ðanab-,58,false,expert,,,,
geez-136_tailanus-1-1,geez-136_tailanus-1,zanab,58,false,expert,,,,
ps-137_thisthattheonewhowhichthat-1-1,ps-137_thisthattheonewhowhichthat-1,ð-,59,false,expert,,,,
ugaritic-138_theonesofwhowhomhewhotheonewhowhichthatdeterminativerelativefunctormascsg-1-1,ugaritic-138_theonesofwhowhomhewhotheonewhowhichthatdeterminativerelativefunctormascsg-1,d,59,false,expert,,,,
ugaritic-139_theonesofwhowhomhewhotheonewhowhichthatdeterminativerelativefunctorfemsg-1-1,ugaritic-139_theonesofwhowhomhewhotheonewhowhichthatdeterminativerelativefunctorfemsg-1,dt,59,false,expert,,,,
ugaritic-140_theonesofwhowhomhewhotheonewhowhichthatdeterminativerelativefunctorpl-1-1,ugaritic-140_theonesofwhowhomhewhotheonewhowhichthatdeterminativerelativefunctorpl-1,dt,59,false,expert,,,,
hebrew-141_thatmanthere-1-1,hebrew-141_thatmanthere-1,hallaːzæː,59,false,expert,,,,
hebrew-142_this-1-1,hebrew-142_this-1,zæː,59,false,expert,,,,
arabic-143_whowhichrelativepronounmascsg-1-1,arabic-143_whowhichrelativepronounmascsg-1,ʔallaðiː,59,false,expert,,,,
arabic-144_that-1-1,arabic-144_that-1,ðaːka,59,false,expert,,,,
arabic-144_that-2-1,arabic-144_that-2,ðaːlika,59,false,expert,,,,
arabic-144_that-3-1,arabic-144_that-3,ðaːnika,59,false,expert,,,,
arabic-145_thismasc-1-1,arabic-145_thismasc-1,haːðaː,59,false,expert,,,,
arabic-146_thisfem-1-1,arabic-146_thisfem-1,haːðiː,59,false,expert,,,,
geez-146_thisfem-1-1,geez-146_thisfem-1,zaː,59,false,expert,,,,
