ID,Name,Concepticon_ID,Concepticon_Gloss
115_tobecloudedtobeconfused,to be clouded; to be confused,3858,CONFUSED
116_not,not,1240,NOT
117_nonot,"no, not",2279,NO OR NOT
118_no,no,1269,NO
119_one,one,1493,ONE
120_one,one (?),1493,ONE
121_eleven,eleven,1706,ELEVEN
122_seed,seed,714,SEED
123_seedoffspringdescendants,"seed; offspring, descendants",714,SEED
124_seedsowingoffspringfamily,"seed; sowing; offspring, family",714,SEED
125_tosow,to sow,748,SOW SEEDS
126_tosowtocastseed,"to sow, to cast seed",748,SOW SEEDS
127_seedgrain,"seed, grain",714,SEED
128_tosowtoseed,"to sow, to seed",748,SOW SEEDS
129_star,star,1430,STAR
130_starkindofcollyrium,star; kind of collyrium,1430,STAR
131_sun,sun,1343,SUN
132_suntypeoflizardgold,sun; type of lizard; gold,1343,SUN
133_tail,tail,1220,TAIL
134_tailrearpart,"tail, rear part",1220,TAIL
135_tailfarthestpart,tail; farthest part,1220,TAIL
136_tailanus,"tail, anus",1220,TAIL
137_thisthattheonewhowhichthat,"this, that; the one who/which/that",1214,THIS
138_theonesofwhowhomhewhotheonewhowhichthatdeterminativerelativefunctormascsg,"the one(s) of; who, whom, he who; the (one) who/which/that (determinative/relative functor, masc. sg.)",1235,WHO
139_theonesofwhowhomhewhotheonewhowhichthatdeterminativerelativefunctorfemsg,"the one(s) of; who, whom, he who; the (one) who/which/that (determinative/relative functor, fem. sg.)",1235,WHO
140_theonesofwhowhomhewhotheonewhowhichthatdeterminativerelativefunctorpl,"the one(s) of; who, whom, he who; the (one) who/which/that (determinative/relative functor, pl.)",1235,WHO
141_thatmanthere,that (man) there,,
142_this,this,1214,THIS
143_whowhichrelativepronounmascsg,"who, which (relative pronoun, masc. sg.)",1235,WHO
144_that,that,78,THAT
145_thismasc,this (masc.),1214,THIS
146_thisfem,this (fem.),1214,THIS
147_whothatwhichrelativepronounmascsg,"who, that, which (relative pronoun, masc. sg.)",1235,WHO
148_thatmasc,that (masc.),78,THAT
149_thisthisonemasc,"this, this one (masc.)",1214,THIS
150_deicticelement,(deictic element),,
151_thoumascsg,thou (masc. sg.),1215,THOU
152_you,you,1213,YOU
153_thou,thou,1215,THOU
154_youmascsing,you (masc. sing.),1213,YOU
155_yousg,you (sg.),1215,THOU
156_thoumasc,thou (masc.),1215,THOU
157_tongue,tongue,1205,TONGUE
158_tonguelanguage,"tongue, language",1205,TONGUE
159_tonguelanguagespitofland,"tongue, language, spit of land",1205,TONGUE
160_tolick,to lick,319,LICK
161_totastetolick,"to taste, to lick",319,LICK
162_tooth,tooth,1380,TOOTH
163_molartooth,molar tooth,1049,MOLAR TOOTH
164_protuberance,protuberance,,
165_togrowshootsbranches,"to grow shoots, branches",,
166_toothmolar,tooth; molar,1380,TOOTH
167_caninetooth,canine tooth,,
168_floatingriborcartilageatthetipoftherib,floating rib or cartilage at the tip of the rib,,
169_two,two,1498,TWO
170_thenextday,the next day,,
171_both,both,,
172_water,water,948,WATER
173_watermailsemenmenstrualfluidurine,"water; mail semen, menstrual fluid; urine",948,WATER
174_we,we,1212,WE
175_who,who?,1235,WHO
176_who,who,1235,WHO
177_bark,bark,1204,BARK
178_skinpeelofafruit,"skin, peel (of a fruit)",763,SKIN
179_scalescalyskintortoiseshellhuskrindbarkpeel,"scale, scaly skin, tortoise shell; husk, rind, bark, peel",1204,BARK
180_cortexsquamaputamen,"cortex, squama, putamen",,
181_barkshellscalepeel,"bark, shell, scale, peel",1204,BARK
182_alqisrbarkpeel,"ˀalqišr (bark, peel)",275,PEEL
183_topeeldecorticate,"to peel, decorticate",275,PEEL
184_bellystomach,"belly, stomach",2114,BELLY OR STOMACH
185_stomachbellywombbodymindheartdesireinnerorlowerside,"stomach, belly, womb, body; mind, heart, desire; inner or lower side",1223,HEART
186_belly,belly,1251,BELLY
187_bellystomachwombuterus,"belly, stomach; womb, uterus",1251,BELLY
188_ventriclestomachbellyuterusstomachofanimalsespruminant,"ventricle, stomach, belly, uterus; stomach (of animals, esp. ruminant)",1251,BELLY
189_bellystomachwombabdomeninteriorofshiparkvessel,"belly, stomach, womb, abdomen; interior (of ship, ark, vessel)",1251,BELLY
190_fire,fire,221,FIRE
191_fireabscessinflammation,"fire; abscess, inflammation",221,FIRE
192_tobebrighttoshine,"to be bright, to shine",708,SHINE
193_light,light,630,LIGHT (RADIATION)
194_fireconflagration,"fire, conflagration",221,FIRE
195_green,green,1425,GREEN
196_yellowgreenasanaturalcolor,"yellow, green (as a natural color)",1424,YELLOW
197_yellow,yellow,1424,YELLOW
198_greengreenery,"green, greenery",1425,GREEN
199_greenishpalegreen,"greenish, palegreen",,
200_greenlividherbsvegetableseggyolk,"green, livid; herbs, vegetables; egg yolk",1425,GREEN
201_ashcolored,ashcolored,,
202_leaf,leaf,628,LEAF
203_silvercoins,silver coins,,
204_gold,gold,1369,GOLD
205_strawgrass,"straw, grass",606,GRASS
206_herbgrassvegetationstraw,"herb, grass, vegetation, straw",606,GRASS
207_toknow,to know,3626,KNOW
208_knowingsomeoneexpertwisecompetentlearnedacquaintancepersonknown,"knowing someone, expert, wise,competent, learned; acquaintance, person known",698,WISE
209_toknowtodiscernrecognizetocohabitwith,"to know; to discern, recognize; to cohabit with",3626,KNOW
210_idonotknowperhapsprobably,"I do not know; perhaps, probably",2278,PERHAPS
211_tomakeknowinform,"to make know, inform",,
212_moon,moon,1313,MOON
213_moonnewmoonmonth,"moon, new moon; month",1313,MOON
214_month,month,1370,MONTH
215_moonmonth,"moon, month",2463,MOON OR MONTH
216_acharacteristicsuchasbrilliance,(a characteristic such as brilliance),,
217_littlemoonsasamuletsorjewelry,little moons (as amulets or jewelry),,
218_thenewmoonwhenitappears,"the new moon, when it appears",3691,NEW MOON
219_moonfirstdayofthemonth,"moon, first day of the month",1313,MOON
220_nose,nose,1221,NOSE
221_nosetipcrownendrindedgespurofland,"nose; tip, crown, end, rind, edge; spur of land",1221,NOSE
222_root,root,670,ROOT
223_rootbasefoundation,"root, base, foundation",670,ROOT
224_originsourceroot,"origin, source, root",670,ROOT
225_smallthornytrees,small thorny trees,,
226_smallthornytree,small thorny tree,,
227_stone,stone,857,STONE
228_rockstonegemsmallbuilding,"rock, stone, gem; small building",857,STONE
229_tree,tree,906,TREE
230_treetimberlumberwoodaromaticwoodwoodedarea,"tree; timber, lumber, wood; aromatic wood; wooded area",906,TREE
231_treeshrubbushwoodstickstaffofspear,"tree, shrub, bush; wood; stick, staff (of spear)",906,TREE
232_woman,woman,962,WOMAN
233_wife,wife,1199,WIFE
234_womanwife,"woman, wife",962,WOMAN
235_femalefeminine,"female, feminine",1551,FEMALE
236_womanwifefemale,"woman, wife, female",962,WOMAN
237_mansonlord,man; son; lord,1554,MAN
238_son,son,1620,SON
239_man,man,1554,MAN
240_bird,bird,937,BIRD
241_divinationfrombirdsaugury,"divination from birds, augury",,
242_birdbirdsinsectnameofastar,"bird, birds; insect; name of a star",937,BIRD
243_todivinebyobservingtheflightofbirds,to divine by observing the flight of birds,,
244_tostrikebeat,"to strike, beat",353,STRIKE
245_tohittowoundtostrike,"to hit, to wound, to strike",1433,HIT
246_tokill,to kill,1417,KILL
247_weaver,weaver,3637,WEAVER
248_tosmash,to smash,,
249_tostriketoknock,"to strike, to knock",353,STRIKE
250_tosmitetocuttodestroy,"to smite, to cut, to destroy",1432,CUT
251_tobegood,(to be) good,1035,GOOD
252_goodsweetfresharomaticbenevolent,"good, sweet, fresh, aromatic, benevolent",1035,GOOD
253_good,good,1035,GOOD
254_goodmerrypleasantinorderusable,"good; merry; pleasant; in order, usable",1035,GOOD
255_goodvaluablepreciouscostworth,"good; valuable, precious; cost, worth",1035,GOOD
256_pleasantdelightfuldelicioussweet,"pleasant, delightful, delicious, sweet",717,SWEET
257_togotoandfro,to go to and fro,,
258_toprowltomakeonesroundstoturnabout,"to prowl, to make one’s rounds, to turn about",,
259_togive,to give,1447,GIVE
260_tobelong,to be long,1203,LONG
261_longtall,"long, tall",1203,LONG
262_lenght,lenght,,
263_long,long,1203,LONG
264_longextendinglonglasting,"long, extending; longlasting",1203,LONG
265_tokeepinaplacetoremaintocontinue,"to keep in a place, to remain, to continue",987,REMAIN
266_neck,neck,1333,NECK
267_neckhumpofcamelmountainridge,"neck, hump of camel; mountain ridge",1333,NECK
268_sideoftheneckbankofariver,side of the neck; bank of a river,,
269_tosit,to sit,1416,SIT
270_tositdownphysicallytoresideandlivesomewhere,to sit down physically; to reside and live somewhere,,
271_tositdowntosittodwell,"to sit down, to sit; to dwell",1416,SIT
272_tosittoremaintoinhabittosettle,to sit; to remain; to inhabit; to settle,1416,SIT
273_tojump,to jump,1829,JUMP
274_totakeawifetomarry,"to take a wife, to marry",203,MARRY
275_towalk,to walk,1443,WALK
276_togotomovetoproceed,to go; to move; to proceed,695,GO
277_togowalk,"to go, walk",695,GO
278_togobackreturnpatowalk,"to go back, return; (pa.) to walk",581,COME BACK
279_toperishtobecomeinabadstatetodie,"to perish, to become in a bad state; to die",1494,DIE
280_day,day,1225,DAY (NOT NIGHT)
281_today,today,1283,TODAY
282_lion,lion,1386,LION
283_lioness,lioness,,
284_tobesimilar,to be similar,1558,SIMILAR
285_equalamountequivalent,"equal amount, equivalent",,
286_tosteal,to steal,713,STEAL
287_tostealtoactasathief,to steal; to act as a thief,713,STEAL
288_tobedarkblack,"to be dark, black",163,BLACK
289_blackdark,"black, dark",163,BLACK
290_darkness,darkness,11,DARKNESS
291_gloom,gloom,,
292_tooppresswrongtoaccusefalsely,"to oppress, wrong; to accuse falsely",401,OPPRESS
293_toactwrongfullyivtobecomedark,"to act wrongfully, IV. to become dark",,
294_toreach,to reach,1387,ARRIVE
295_tobesufficienttobeequaltotoamounttodtomakereachto,"to be sufficient, to be equal to, to amount to, (D) to make reach to",,
296_tocome,to come,1446,COME
297_tomeettoruninto,"to meet, to run into",1831,MEET
298_toreachtomeettofind,"to reach, to meet, to find",719,FIND
299_toarrivereachtohappen,"to arrive, reach; to happen",1387,ARRIVE
300_fatoil,"fat, oil",2551,ORGANIC FAT OR OIL
301_oilfat,"oil, fat",323,FAT (ORGANIC SUBSTANCE)
302_fatvegetableoil,fat; vegetable oil,323,FAT (ORGANIC SUBSTANCE)
303_vegetableoilfat,vegetable oil; fat,323,FAT (ORGANIC SUBSTANCE)
304_fat,fat,323,FAT (ORGANIC SUBSTANCE)
305_clarifiedbutter,(clarified) butter,1245,BUTTER
306_toteartopiercetobore,"to tear, to pierce, to bore",1501,BORE
307_todeflowertorape,to deflower; to rape,953,RAPE
308_toborethrough,to bore through,,
309_topiercetomakeahole,"to pierce, to make  a hole",398,PIERCE
310_topiercetobore,"to pierce, to bore",1501,BORE
311_todisjointoseparate,"to disjoin, to separate",1359,SEPARATE
312_husbandorman,husband or man,1554,MAN
313_husband,husband,1200,HUSBAND
314_manhumanbeinghusband,"man, human being, husband",1554,MAN
315_menpersons,"men, persons",1554,MAN
316_tobelow,to be low,721,LOW
317_tobenddownstoopplungeoneself,"to bend down, stoop, plunge oneself",,
318_tobecomelowgodeep,"to become low, go deep",,
319_tobelowdepressed,"to be low, depressed",3973,DEPRESSED
320_plain,plain,652,PLAIN
321_tobehightogrow,"to be high, to grow",479,GROW
322_togrowinsizeorage,to grow (in size or age),479,GROW
323_togrowold,to grow old,,
324_tobreak,to break,680,BREAK (DESTROY OR GET DESTROYED)
325_tobevictorioustovanquish,"to be victorious, to vanquish",,
326_tobreaktodemolishtomakeagap,"to break, to demolish; to make a gap",680,BREAK (DESTROY OR GET DESTROYED)
327_toviolatetobreaktofrustrate,"to violate, to break, to frustrate",680,BREAK (DESTROY OR GET DESTROYED)
328_toentrusttorely,"to (en)trust, to rely",3902,TRUST (SOMEBODY)
329_totrust,to trust,3902,TRUST (SOMEBODY)
330_overseerpersoninchargeofagroupofsoldiersworkersorcraftsmen,"overseer (person in charge of a group of soldiers, workers or craftsmen)",,
331_tobelievetobesure,"to believe, to be sure",1890,BELIEVE
332_iitoappointasonesdeputy,II. to appoint as one’s deputy,,
333_fidereconfideretotrustbelieveconfide,"fidere, confidere (to trust, believe, confide)",1890,BELIEVE
334_confisusfretusrelyingdependingtrusting,"confisus, fretus (relying, depending, trusting)",,
335_sea,sea,1474,SEA
336_seaoceanlake,"sea, ocean, lake",624,LAKE
337_primordialoceanabyss,"primordial ocean, abyss",,
338_primaevaloceanprimaevalfloodflooddeluge,"primaeval ocean, primaeval flood; flood, deluge",613,HIGH TIDE
339_waveseaabyss,wave; sea; abyss,1474,SEA
340_acertainlandextendingtotheseatihameh,a certain land ... extending to the sea (Tihámeh),,
341_leg,leg,1297,LEG
342_thigh,thigh,471,UPPER LEG (THIGH)
343_foot,foot,1301,FOOT
344_tobefullofforearmvesseltobefullformedthickofwoman,"to be full (of forearm, vessel); to be fullformed, thick (of  woman)",1429,FULL
345_jugularveintrachea,"(jugular) vein, trachea",1924,VEIN
346_gullet,gullet,,
347_trachealarynxthroat,"trachea, larynx, throat",1346,THROAT
348_thelargebloodvesseljugularvein,"the large blood vessel, jugular vein",,
349_arteryveinstemtrunk,"artery, vein; stem, trunk",1924,VEIN
350_veineveinejugulairedechaquecoteducouveinjugularveinoneithersideoftheneck,veine; veine jugulaire (de chaque côté du cou) (vein; jugular vein (on either side of the neck),,
351_toshaketomovetojump,to shake; to move; to jump,1829,JUMP
352_todisappeartoceasetoexist,to disappear; to cease to exist,485,DISAPPEAR
353_tosliptomoveaway,to slip; to move away,1324,SLIP
354_toputinthestateofagitation,to put in the state of agitation,,
355_togoawaytodeparttopassawaytoshift,to go away; to depart; to pass away; to shift,1752,LEAVE
356_tomovebeshakentoswingtobeagitated,to move; be shaken; to swing; to be agitated,765,MOVE
357_frontpartofbodychestbellyinterior,"(front part of) body; chest, belly; interior",1251,BELLY
358_figureshape,"figure, shape",3747,SHAPE
359_back,back,1291,BACK
360_bodycorpse,"body, corpse",1480,BODY
361_intestinaviscera,"intestina, viscera",,
362_breast,breast,1402,BREAST
363_insideinterior,inside; interior,1606,INSIDE
364_tohaveabreastdisease,to have a breast disease,,
365_areabetweenthethighslap,"area between the thighs, lap",3263,LAP
366_tobesteadfastsurereliable,"to be steadfast, sure, reliable",509,CERTAIN
367_tobefirminplacetoremainstationarytobereliablecorrect,"to be firm in place, to remain stationary, to be reliable, correct",1725,CORRECT (RIGHT)
368_yes,yes,1268,YES
369_correctrightcertain,"correct, right, certain",1019,RIGHT
370_tofumigate,to fumigate,,
371_smoke,smoke,778,SMOKE (EXHAUST)
372_tomakeasacrificetogoupinsmoke,"to make a sacrifice, to go up in smoke",,
373_toexhaleascenttosmoke,to exhale a scent; to smoke,1689,SMOKE (INHALE)
374_aloewoodwithwhichonefumigates,aloewood with which one fumigates,,
375_toseetolooktoobserve,"to see, to look, to observe",1409,SEE
376_toseebehold,"to see, behold",1409,SEE
377_todivinefromtheflightofbirds,to divine from the flight of birds,,
378_vesselreceptacle,"vessel, receptacle",,
379_beweglichehabemoveableproperty,bewegliche Habe (moveable property),,
380_vesseltoolsequipment,"vessel; tools, equipment",1361,TOOL
381_shipsfleet,"ships, fleet",,
382_vessel,vessel,,
383_port,port,610,PORT
384_vesselutensilinstrument,"vessel, utensil, instrument",1361,TOOL
385_tobemassivecompactheavy,"to be massive, compact, heavy",1210,HEAVY
386_etptobedrawntogetherpressedtogether,"(etp.) to be drawn together, pressed together",,
387_tobehardstrong,"to be hard, strong",785,STRONG
388_bee,bee,665,BEE
389_togodown,to go down,2014,GO DOWN (DESCEND)
390_togoout,to go out,1107,GO OUT
391_offspringdescendant,"offspring, descendant",490,DESCENDANTS
392_tosproutgrowtoexist,"to sprout, grow; to exist",2076,SPROUT (VERB)
393_originrootstockabundanceofoffspring,"origin, root, stock; abundance of offspring",670,ROOT
394_shoots,shoots,,
395_wombcompassionpitykindness,"womb; compassion, pity, kindness",804,WOMB
396_wombpitycompassionmercy,"womb; pity, compassion, mercy",804,WOMB
397_womb,womb,804,WOMB
398_uteruswomb,"uterus, womb",804,WOMB
399_tobecompassionate,to be compassionate,,
400_totakepitytohavemercy,"to take pity, to have mercy",,
401_qalpitolovetomeetsomeonewithlovetotakepityonsomeone,"(qal, pi.) to love, to meet someone with love, to take pity on someone",,
402_afeelingoflovelovingsensationmercy,"a feeling of love, loving sensation, mercy",,
403_tohavemercypitycompassion,"to have mercy, pity, compassion",1141,PITY
404_togoup,to go up,705,GO UP (ASCEND)
405_high,high,1265,HIGH
406_togouprisetoattackassailjumplaunchoneselfupon,"to go up, rise; to attack, assail, jump, launch oneself (upon)",705,GO UP (ASCEND)
407_toascendgoup,"to ascend, go up",705,GO UP (ASCEND)
408_patoexalttoraiseup,(pa.) to exalt; to raise up,,
409_tobebecomehigh,"to be, become high",1579,BE
410_wildanimal,wild animal,958,WILD ANIMAL
411_opencountrywilduncultivatedplace,"open country, wild, uncultivated place",2230,UNTAMED OR WILD
412_mountainopencountry,mountain; open country,639,MOUNTAIN
413_pastureopenfieldsfieldarableland,"pasture, open fields; field, arable land",212,FIELD
414_tobedifferenttobelate,to be different; to be late,425,BE LATE
415_todelaytotarrybedelayedtobeoutstanding,"to delay;  to tarry, be delayed; to be outstanding",425,BE LATE
416_tobebehindpitodelaytodetain,"to be behind; pi  to delay, to detain",1686,BEHIND
417_anotherlaterfollowing,"another; later, following",197,OTHER
418_iitodelaypostponetomakesmbretreattobelategoback,"II. to delay, postpone; to make smb retreat; to be late; go back",425,BE LATE
419_tobehightall,"to be high, tall",711,TALL
420_togrowthicklyabundantly,"to grow thickly, abundantly",,
421_tobehighlofty,"to be high, lofty",1265,HIGH
422_tobenaked,to be naked,590,NAKED
423_tobenakedunrigged,"to be naked, unrigged",590,NAKED
424_tosnore,to snore,1983,SNORE
425_whale,whale,957,WHALE
426_amarineanimal,a marine animal,,
427_toliedowntorestmostlyofanimals,"to lie down, to rest (mostly of animals)",215,LIE DOWN
428_toliedowntobeatpeacetolurk,to lie down; to be at peace; to lurk,215,LIE DOWN
429_torestliedown,"to rest, lie down",168,REST
430_toliedownrestofanimalsmostlyofanimalstolurk,"to lie down, rest (of animals) (mostly of animals); to lurk",215,LIE DOWN
431_toliedownanimals,to lie down (animals),215,LIE DOWN
432_tobesilent,to be silent (?),48,BE SILENT
433_tobeatrest,to be at rest,,
434_rest,rest,168,REST
435_tofall,to fall,1280,FALL
436_tobesilent,to be silent,48,BE SILENT
437_tobequiet,to be quiet,1314,QUIET
438_tolieatresttokeepquiet,"to lie at rest, to keep quiet",,
439_toencamptolodgetorest,"to encamp, to lodge, to rest",168,REST
440_road,road,667,ROAD
441_waypath,"way, path",2252,PATH
442_footsteptrace,"footstep, trace",318,FOOTPRINT
443_placesitelocation,"place, site, location",723,PLACE (POSITION)
444_whothatwhichrelativeparticlethatsothat,"who, that, which (relative particle); that, so that",1235,WHO
445_place,place,723,PLACE (POSITION)
446_remainrelictrace,"remain, relic, trace",987,REMAIN
447_pathtracetrackfootprint,"path, trace, track, footprint",2252,PATH
448_tolookfortosearchtoexamine,to look for; to search; to examine,1468,LOOK FOR
449_tolookfortosearchfor,"to look for, to search for",1468,LOOK FOR
450_torevealtoshow,"to reveal, to show",1039,SHOW
451_toenquire,to enquire,,
452_toexaminesearchspy,"to examine, search, spy",1468,LOOK FOR
453_tostriveafterpursuedesiretorequest,"to strive after, pursue, desire; to request",1047,PURSUE
454_toseektodesire,"to seek, to desire",2117,DESIRE
455_infrontofbefore,"in front of, before",1883,IN FRONT OF
456_front,front,2194,FRONT (PART)
457_infrontof,in front of,1883,IN FRONT OF
458_infronteastbeforeearlierinoldendays,"in front; east; before, earlier, in olden days",1882,BEFORE
459_beforeinthepresenceof,before; in the presence of,1882,BEFORE
460_beforeinfrontof,"before, in front of",1882,BEFORE
461_lord,lord,3153,LORD
462_lady,lady,2471,LADY
463_asynonymforlordmaster,"(a synonym for lord, master)",383,MASTER
464_lordowner,"lord, owner",1036,OWNER
465_husbandlandownercitizen,"husband; landowner, citizen",1200,HUSBAND
466_ownerhusband,"owner, husband",1200,HUSBAND
467_ownerlord,"owner, lord",1036,OWNER
468_ownerpossessormaster,"owner, possessor; master",1036,OWNER
469_,?,,
470_tobegin,to begin,1806,BEGIN
471_torelease,to release,1095,LET GO OR SET FREE
472_toletloose,to let loose,,
473_toloosen,to loosen,1933,LOOSEN
474_tothrowofftoremove,"to throw off, to remove",,
475_topardontoabsolvetoforgive,"to pardon, to absolve, to forgive",1528,FORGIVE
476_toburn,to burn,2102,BURN
477_tosetafiretokindletoburn,"to set afire, to kindle, to burn",2102,BURN
478_toburntoburnup,"to burn, to burn up",2102,BURN
479_tobe,to be,1579,BE
480_tochangetoturninto,"to change, to turn into",1264,CHANGE
481_tobecometolie,"to become, to lie",1990,BECOME
482_tocometopasstooccurtobetobecome,"to come to pass, to occur, to be, to become",1579,BE
483_tobetoendurelasttobecomeresultbemade,"to be; to endure, last; to become, result, be made",1579,BE
484_bullox,"bull, ox",1008,BULL
485_cow,cow,1007,COW
486_face,face,1560,FACE
487_tofacetogoforward,"to face, to go forward",1560,FACE
488_toturn,to turn,1588,TURN
489_toturnaround,to turn around,1444,TURN AROUND
490_sideregionplace,side; region; place,723,PLACE (POSITION)
