ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGIDS
3707	arabic	a virgin; a woman that withholds herself from men	batūl-	batuːl-	b a t uː l		1831
3402	akkadian	a wading bird	saḳātu	saqˤaːtu	s a qˤ aː t u		1678
2395	arabic	a whiteness in the lower lip of a horse	lamaḏ̣-, lumḏ̣at-	lamaðˤ-	l a m a ðˤ		1002
3384	akkadian	a wild animal; Gepard (cheetah)	dumāmu (tumāmu)	dumaːmu	d u m aː m u		1660
1405	arabic	a wild hoofed animal	laˀaⁿ, laˀāt-	laʔa	l a ʔ a		591
1519	ps	a wild ruminant	*na(ya)l-	nal-	n a l		629
1521	ps	a wild ruminant	*bVb(b)-	b-b-	b b		630
3291	arabic	a young camel when just born	ḥuwār-, ḥiwār-	ħuwaːr-	ħ u w aː r		1630
4061	arabic	a youth	ṣabiyy-	sˤabijj-	sˤ a b i j j		2075
1122	akkadian	a ﬁsh	abūtu	abuːtu	a b uː t u		498
1729	syriac	abdomen, omassum	ḥumšā	ħumʃaː	ħ u m ʃ aː		724
2066	hebrew	abomasum, stomach	ḳēbā	qˤeːbaː	qˤ eː b aː		850
2961	syriac	above, upon	ˁal	ʕal	ʕ a l		1390
2963	geez	above; against; on, upon, over; about, concerning	lāˁla/laˁal	laːʕla	l aː ʕ l a		1390
2907	arabic	abundance of hair	zabb-, zabab	zabb-	z a b b		1341
3194	geez	accomplish, complete, perfect,  consummate; bring to an end; contain, comprehend, include completely	ˀagmara	ʔagmara	ʔ a g m a r a		1597
1561	syriac	adder, asp	patnā	patnaː	p a t n aː		650
843	geez	adder, viper	ˀafˁot	ʔafʕot	ʔ a f ʕ o t		368
1821	akkadian	after, behind	warki	warki	w a r k i		758
1803	ps	afterbirth	*šily-at-	ʃilj-at-	ʃ i l j a t		753
1806	hebrew	afterbirth	šilyā	ʃiljaː	ʃ i l j aː		753
1804	akkadian	afterbirth, womb	šelītu	ʃeliːtu	ʃ e l iː t u		753
4007	syriac	age, lifetime, generation	dārā	daːraː	d aː r aː		2024
2700	arabic	agiter les ailes (se dit d'un oiseau qui couve) (to wave wings (said of a brooding bird)	ǯff	gff	g f f		1099
3900	arabic	agreement, concord	liˀm-	liʔm-	l i ʔ m		1985
2658	arabic	aigle (eagle)	γaran-	ɣaran-	ɣ a r a n		1075
3355	arabic	aile (d'un oiseau) (wing (of a bird)	miǯdāf-	migdaːf-	m i g d aː f		1651
1744	arabic	aine; racine de fémur (elder; femur root)	ˀurbiyyat-	ʔurbijjat-	ʔ u r b i j j a t		730
2593	ps	alcoholic drink	*šikar-	ʃikar-	ʃ i k a r		1062
2595	hebrew	alcoholic drink	šēkār	ʃeːkaːr	ʃ eː k aː r		1062
2597	arabic	alcoholic drink	sakar-	sakar-	s a k a r		1062
966	arabic	alfa	ḥalaf-	ħalaf-	ħ a l a f		405
8	ps	all	*kal-/*kull-	kal-	k a l		2
9	akkadian	all	kalû	kalû	k a l û		2
10	ugaritic	all	kl	kl	k l		2
14	geez	all	kʷəll	kʷəll	kʷ ə l l		2
13	arabic	all, anyone	kull-	kull-	k u l l		2
12	syriac	all, every; so much	kul	kul	k u l		2
11	hebrew	all, the whole; everyone	kōl	koːl	k oː l		2
1044	ps	almond tree, almond	*ṯaḳid-	θaqˤid-	θ a qˤ i d		479
1045	akkadian	almond tree, almond	šiḳdu	ʃiqˤdu	ʃ i qˤ d u		479
1046	ugaritic	almond tree, almond	ṯḳd	θqˤd	θ qˤ d		479
1047	hebrew	almond tree, almond	šāḳēd	ʃaːqˤeːd	ʃ aː qˤ eː d		479
1048	syriac	almond tree, almond	šegdtā	ʃegdtaː	ʃ e g d t aː		479
622	arabic	aloewood with which one fumigates	quṭr-	qutˤr-	q u tˤ r		204
3442	arabic	amygdal	g(a)rāǯəm	graːgəm	g r aː g ə m		1694
2594	akkadian	an alcoholic drink, beer	šikaru	ʃikaru	ʃ i k a r u		1062
3605	akkadian	an aquatic animal	kušû	kuʃû	k u ʃ û		1758
3770	akkadian	an axe or hatchet	pāšu	paːʃu	p aː ʃ u		1865
945	akkadian	an illsmelling, thorny plant	daddaru	daddaru	d a d d a r u		400
3627	akkadian	an insect, a disease	ḳūḳānu	qˤuːqˤaːnu	qˤ uː qˤ aː n u		1778
3481	akkadian	an insect; larva	šubabītu	ʃubabiːtu	ʃ u b a b iː t u		1711
3415	hebrew	an unclean bird	šālāk	ʃaːlaːk	ʃ aː l aː k		1686
3536	hebrew	an unclean species of bird frequenting ruins and the desert; a type of owl (?); scops owl or jackdaw	ḳāˀāt	qˤaːʔaːt	qˤ aː ʔ aː t		1732
1193	akkadian	ancestor, forefather	ḫammu	xammu	x a m m u		513
3997	akkadian	animal pen (?)	dāru	daːru	d aː r u		2023
3267	akkadian	animals	umāmu	umaːmu	u m aː m u		1619
3485	hebrew	animals of the desert	ṣī	sˤiː	sˤ iː		1713
2053	ps	ankle	*ḳVrs/ṣVll-	qˤ-rs	qˤ r s		846
2054	akkadian	ankle bone	kiṣallu	kisˤallu	k i sˤ a l l u		846
2056	syriac	ankle bone; wrist	ḳurṣlā	qˤursˤlaː	qˤ u r sˤ l aː		846
2055	hebrew	ankles	ḳarṣullayim	qˤarsˤullajim	qˤ a r sˤ u l l a j i m		846
3006	ugaritic	ano	šbr	ʃbr	ʃ b r		1495
677	hebrew	another; later, following	ˀaḥēr	ʔaħeːr	ʔ a ħ eː r		290
3427	ps	ant	*šumšum-	ʃumʃum-	ʃ u m ʃ u m		1690
3603	geez	ant	kʷarāzi	kʷaraːzi	kʷ a r aː z i		1757
3488	hebrew	antelope	təˀō	təʔoː	t ə ʔ oː		1714
854	arabic	antilope	ˀirāḫ-	ʔiraːx-	ʔ i r aː x		370
3509	ugaritic	antilope	zmr	zmr	z m r		1724
3019	arabic	anus	surm-	surm-	s u r m		1506
3032	geez	anus, buttocks	fandot, pl. fanādut	fandot	f a n d o t		1509
1758	akkadian	anus, buttocks; rear	ḳinnatu	qˤinnatu	qˤ i n n a t u		735
3018	syriac	anus, rectum	šurmā	ʃurmaː	ʃ u r m aː		1506
1133	geez	any animal or fowl	ˀǝgwǝl (ˁǝgwal, ˁǝgwl)	ʔǝgwǝl	ʔ ə g w ə l		499
2140	ugaritic	any(thing), all (that)	mnm	mnm	m n m		867
2895	ugaritic	aperture	pṭr	ptˤr	p tˤ r		1330
1966	akkadian	aperture of the ear, ear; (faculty of) hearing	ḫasīsu	xasiːsu	x a s iː s u		817
2864	syriac	appearance, form, front side	paˀtā, pattā	paʔtaː	p a ʔ t aː		1319
2669	arabic	araignée (spider)	minanat-, manūnat-	minanat-	m i n a n a t		1078
3422	syriac	aranea (spider)	gəwāgay	gəwaːgaj	g ə w aː g a j		1688
2130	hebrew	arch, doorway, bow; skullcap	kippā	kippaː	k i p p aː		863
1853	arabic	area between the jaw and the neck	nakfat-, nakafat-	nakfat-	n a k f a t		771
1746	akkadian	area between the thighs, groin	kappaltu	kappaltu	k a p p a l t u		731
612	geez	area between the thighs, lap	gʷəyyā	gʷəjjaː	gʷ ə j j aː		199
3589	akkadian	arm (or hip)	ilṣu	ilsˤu	i l sˤ u		1752
2020	akkadian	arm, hand	kappu	kappu	k a p p u		834
101	akkadian	arm; side; edge, border	idu	idu	i d u		23
1694	ps	armpit	*šaḫ(a)y(-at)-	ʃaxj-	ʃ a x j		714
1695	akkadian	armpit	suḫātu	suxaːtu	s u x aː t u		714
