ID	Name	NameInSource	Glottocode	ISO639P3code	Latitude	Longitude	Family
shehri	E	Shehri	eeee1240	eee	24.7262	109.063	Tai-Kadai
soqotri	Soqotri	Soqotri	soqo1240	sqt	12.4892	53.9168	Afro-Asiatic
coptic	Coptic	Coptic	copt1239	cop	29.472	31.2053	Afro-Asiatic
turkish	Turkish	Turkish	nucl1301	tur	39.8667	32.8667	Turkic
aramaic	Aramaic	Aramaic	aram1259				Afro-Asiatic
egyptianarabic	Egyptian Arabic	Egyptian Arabic	egyp1253	arz	31.0	31.0	Afro-Asiatic
azerbaijani	Ija	Azerbaijani	ijaa1237				Austronesian
malay	Malayo	Malay	mala1522	mbp	10.9286	-73.4056	Chibchan
lishanadeni	Lishana Deni	Lishana Deni	lish1247	lsd	31.7745	35.2225	Afro-Asiatic
mandaic	Dai	Mandaic	daii1240	dij	-7.55894	129.687	Austronesian
centralneoaramaic	Central Assyrian Neo-Aramaic	Central Neo-Aramaic	cent2218				Afro-Asiatic
sabaean	Sa	Sabaean	saaa1241	sax	-15.9534	168.228	Austronesian
biblicalhebrew	Biblical Hebrew	Biblical Hebrew	bibl1238				Afro-Asiatic
phoenician	Phoenician	Phoenician	phoe1239	phn	34.12	35.65	Afro-Asiatic
sumerian	Sumerian	Sumerian	sume1241	sux	31.3	45.6667	
eblaite	Eblaite	Eblaite	ebla1238	xeb	35.798	36.798	Afro-Asiatic
ancientgreek	Ancient North Greek	Ancient Greek	anci1249		40.825	22.144	Indo-European
jewishpalestinianaramaic	Jewish Palestinian Aramaic	Jewish Palestinian Aramaic	pale1261	jpa			Afro-Asiatic
jewishbabylonianaramaic	Rama	Jewish Babylonian Aramaic	rama1270	rma	11.5007	-83.8571	Chibchan
samaritanaramaic	Samaritan Aramaic	Samaritan Aramaic	sama1314	sam	32.3107	35.258	Afro-Asiatic
inor	Inor	Inor	inor1240				Afro-Asiatic
chaha	Chaha	Chaha	chah1248				Afro-Asiatic
ezha	Ezha	Ezha	ezha1238				Afro-Asiatic
gyeto	E	Gyeto	eeee1240	eee	24.7262	109.063	Tai-Kadai
muher	Muher	Muher	muhe1234				Afro-Asiatic
ammonite	Ammonite	Ammonite	ammo1234	qgg			Afro-Asiatic
edomite	Edomite	Edomite	edom1234	xdm			Afro-Asiatic
moabite	Moabite	Moabite	moab1234	obm			Afro-Asiatic
swahili	Swahili	Swahili	swah1253	swh	-8.25605	37.624	Atlantic-Congo
fossiziledperhapsakkadian	Akkadian	fossiziled perhaps Akkadian	akka1240	akk	33.1	44.1	Afro-Asiatic
hadrami	Hadrami	Hadrami	hadr1235	xhd	15.528	47.603	Afro-Asiatic
minaean	Minaean	Minaean	mina1279	inm	16.166667	44.672778	Afro-Asiatic
qatabanian	Qatabanian	Qatabanian	qata1238	xqt	14.8	45.733333	Afro-Asiatic
harari	Harari	Harari	hara1271	har	9.30485	42.1332	Afro-Asiatic
gurage	Gu	Gurage	guuu1237				Austronesian
gothic	Gothic	Gothic	goth1244	got	46.9304	29.9786	Indo-European
translingual	Gu	Translingual	guuu1237				Austronesian
armenian	Baraninsky Armenian Sign Language	Armenian	arme1259	aen	40.1002	44.4767	Sign Language
oldgeorgian	Old Georgian	Old Georgian	oldg1234	oge	41.604313	43.06151	Kartvelian
uyghur	U	Uyghur	uuuu1243	uuu	22.6767	101.772	Austroasiatic
indonesian	Seti (Indonesian)	Indonesian	seti1246				Austronesian
jewishliteraryaramaic	Rama	Jewish Literary Aramaic	rama1270	rma	11.5007	-83.8571	Chibchan
harsusi	Harsusi	Harsusi	hars1241	hss	19.6511	56.1562	Afro-Asiatic
bengali	Bengali	Bengali	beng1280	ben	24.0	90.0	Indo-European
hindustani	Hindustani	Hindustani	hind1270				Indo-European
gujarati	Gujarati	Gujarati	guja1252	guj	22.687	71.0962	Indo-European
hadramautic	Ut	Hadramautic	uttt1237				Austronesian
classicalpersian	Ica	Classical Persian	icaa1241				Arawakan
hittite	Hittite	Hittite	hitt1242	hit	40.0	35.0	Indo-European
hurrian	Hurrian	Hurrian	hurr1240	xhu	40.7339	43.3154	Hurro-Urartian
neobabylonian	Neo-Babylonian	Neo-Babylonian	neob1234				Afro-Asiatic
georgian	Georgian	Georgian	nucl1302	kat	41.850397	43.78613	Kartvelian
sanskrit	Sanskrit	Sanskrit	sans1269	san	20.0	77.0	Indo-European
italian	Italian	Italian	ital1282	ita	43.0464	12.6489	Indo-European
parthian	Parthian	Parthian	part1239	xpr	37.052	56.056	Indo-European
burmese	Burmese	Burmese	nucl1310	mya	20.7926	93.9665	Sino-Tibetan
pashto	Pashto	Pashto	pash1269				Indo-European
sogdian	Sogdian	Sogdian	sogd1245	sog	39.7	66.983	Indo-European
amorite	Amorite	Amorite	amor1239		34.71	40.72	Afro-Asiatic
imperialaramaic	Rama	Imperial Aramaic	rama1270	rma	11.5007	-83.8571	Chibchan
egyptian	Egyptian	Egyptian	egyp1245				Afro-Asiatic
maranao	Maranao	Maranao	mara1404	mrw	7.79414	124.175	Austronesian
iranianpersian	//Ani	Iranian Persian	anii1246	hnh	-19.0966	22.9088	Khoe-Kwadi
tajik	Tajik	Tajik	taji1245	tgk	38.8213	68.5549	Indo-European
serbocroatian	Ati	Serbo-Croatian	atii1237	atk	11.1539	122.512	Austronesian
safaitic	Safaitic	Safaitic	safa1245				Afro-Asiatic
luwian	Lü	Luwian	luuu1242	khb	21.0321	101.282	Tai-Kadai
modernaramaic	Rama	Modern Aramaic	rama1270	rma	11.5007	-83.8571	Chibchan
cappadociangreek	Cappadocian Greek	Cappadocian Greek	capp1239	cpg	38.73	35.45	Indo-European
romani	Romani	Romani	roma1329	rom			Indo-European
chagatai	Chagatai	Chagatai	chag1247	chg	38.21146	57.88758	Turkic
centralatlastamazight	Cen	Central Atlas Tamazight	cenn1238	cen	9.6896	9.0218	Atlantic-Congo
dutch	Dutch	Dutch	dutc1256	nld	52.0	5.0	Indo-European
turoyo	Turoyo	Turoyo	turo1239	tru	37.2275	42.1451	Afro-Asiatic
argobba	Argobba	Argobba	argo1244	agj	10.6596	39.756	Afro-Asiatic
gafat	Gafat	Gafat	gafa1240	gft	11.5764	39.5605	Afro-Asiatic
kistane	Kistane	Kistane	kist1241	gru	8.33561	38.4763	Afro-Asiatic
kurdish	Kurdish	Kurdish	kurd1259	kur			Indo-European
algerianarabic	Algerian Arabic	Algerian Arabic	alge1239	arq	35.4208	3.23033	Afro-Asiatic
andalusianarabic	Andalusian Arabic	Andalusian Arabic	anda1287	xaa	36.54	-5.2	Afro-Asiatic
baharnaarabic	Baharna Arabic	Baharna Arabic	baha1259	abv	26.223615	50.580811	Afro-Asiatic
chadianarabic	Chadian Arabic	Chadian Arabic	chad1249	shu	14.67	13.5	Afro-Asiatic
hassaniyaarabic	As	Hassaniya Arabic	asss1237	asz	-0.75267	131.728	Austronesian
iraqiarabic	Qi	Iraqi Arabic	qiii1237				Tai-Kadai
jubaarabic	Ba'a	Juba Arabic	baaa1237				Austronesian
nubi	Nubi	Nubi	nubi1253	kcn	-0.183215	34.7552	Afro-Asiatic
libyanarabic	Libyan Arabic	Libyan Arabic	liby1240	ayl	22.0032	15.0014	Afro-Asiatic
northlevantinearabic	Levantine Arabic	North Levantine Arabic	nort3139	apc	34.1709	36.0468	Afro-Asiatic
sudanesearabic	Sudanese Arabic	Sudanese Arabic	suda1236	apd	17.8021	33.3179	Afro-Asiatic
hobyot	Hobyót	Hobyót	hoby1242	hoh	17.216	52.8334	Afro-Asiatic
bathari	Bathari	Bathari	bath1244	bhm	17.4485	53.119	Afro-Asiatic
dahalik	Dahalik	Dahalik	daha1247	dlk	15.732898	40.081897	Afro-Asiatic
silte	Silt'e	Silt'e	silt1240	stv	7.77004	38.1449	Afro-Asiatic
wolane	Wolane	Wolane	wola1253	wle	8.23	38.14	Afro-Asiatic
zay	Zay	Zay	zayy1238	zwa	8.01148	38.8258	Afro-Asiatic
laz	Laz	Laz	lazz1240	lzz	41.5004	41.9096	Kartvelian
mingrelian	Mingrelian	Mingrelian	ming1252	xmf	42.5129	41.8719	Kartvelian
svan	Svan	Svan	svan1243	sva	42.9134	42.5915	Kartvelian
sebatbetgurage	Sebat Bet Gurage	Sebat Bet Gurage	seba1251	sgw	8.11879	37.9891	Afro-Asiatic
baluchi	Bauchi	Baluchi	bauc1238	bsf	10.2077	6.61686	Atlantic-Congo
khalaj	Khalaj	Khalaj	khal1270	kjf	36.5317	49.576	Bookkeeping
amahai	Amahai	Amahai	amah1245	amq	-3.32028	128.939	Austronesian
tausug	Tausug	Tausug	taus1251	tsg	5.12236	118.88	Austronesian
uzbek	Uzbek	Uzbek	uzbe1247	uzb			Turkic
oldarmenian	En	Old Armenian	ennn1243	enc	22.8386	106.167	Tai-Kadai
avar	Avar	Avar	avar1256	ava	41.7047	46.558	Nakh-Daghestanian
bashkir	Bashkir	Bashkir	bash1264	bak	53.59671	56.55937	Turkic
northeasternneoaramaic	North-Eastern Neo-Aramaic	Northeastern Neo-Aramaic	nort3241				Afro-Asiatic
aymallal	Lü	Aymälläl	luuu1242	khb	21.0321	101.282	Tai-Kadai
goggot	Gogo	Goggot	gogo1263	gog	-6.35951	35.4807	Atlantic-Congo
mesqan	Mesqan	Mesqan	mesq1240	mvz	8.10617	38.3386	Afro-Asiatic
biblicalaramaicjewishpalestinianaramaicjewishliteraryaramaicjewishbabylonianaramaic		Biblical Aramaic, Jewish Palestinian Aramaic, Jewish Literary Aramaic, Jewish Babylonian Aramaic					
christianpalestinianaramaicclassicalsyriac		Christian Palestinian Aramaic, Classical Syriac					
punjabi	U	Punjabi	uuuu1243	uuu	22.6767	101.772	Austroasiatic
christianpalestinianaramaic	Christian Palestinian Aramaic	Christian Palestinian Aramaic	chri1239				Afro-Asiatic
westernneoaramaic	Western Neo-Aramaic	Western Neo-Aramaic	west2763	amw	33.8162	36.484	Afro-Asiatic
assyrianneoaramaic	Assyrian Neo-Aramaic	Assyrian Neo-Aramaic	assy1241	aii	36.75	43.0	Afro-Asiatic
german	German	German	stan1295	deu	48.649	12.4676	Indo-European
latin	Latin	Latin	lati1261	lat	41.9026	12.4502	Indo-European
afar	Afar	Afar	afar1241	aar	12.2281	41.8083	Afro-Asiatic
kazakh	Kazakh	Kazakh	kaza1248	kaz	51.17	71.454	Turkic
kyrgyz	||Kã	Kyrgyz	kaaa1239				Tuu
somali	Somali	Somali	soma1255	som	4.778704	45.152856	Afro-Asiatic
spanish	Spanish	Spanish	stan1288	spa	40.4414	-1.11788	Indo-European
israelihebrew	Eli	Israeli Hebrew	elii1237				Austronesian
sidamo	Sidamo	Sidamo	sida1246	sid	6.74176	38.3729	Afro-Asiatic
westernmiddlearamaic	Western Aramaic	Western Middle Aramaic	west2815				Afro-Asiatic
easternmiddlearamaic	Eastern Aramaic	Eastern Middle Aramaic	east2680				Afro-Asiatic
urdu	Urdu	Urdu	urdu1245	urd	25.0	67.0	Indo-European
hindi	Hindi	Hindi	hind1269	hin	25.0	77.0	Indo-European
dadanitic	Dadanitic	Dadanitic	dada1236				Afro-Asiatic
samaritanhebrew	Sa	Samaritan Hebrew	saaa1241	sax	-15.9534	168.228	Austronesian
tunisianarabic	Tunisian Arabic	Tunisian Arabic	tuni1259	aeb	33.7966	9.56156	Afro-Asiatic
chaldeanneoaramaic	Chaldean Neo-Aramaic	Chaldean Neo-Aramaic	chal1275	cld	37.0972	43.5027	Afro-Asiatic
emarite	E	Emarite	eeee1240	eee	24.7262	109.063	Tai-Kadai
japanese	Japanese	Japanese	nucl1643	jpn	35.0	135.0	Japonic
breton	Breton	Breton	bret1244	bre	48.2452	-3.78934	Indo-European
korean	Korean	Korean	kore1280	kor	37.54	126.98	Koreanic
welsh	Welsh	Welsh	wels1247	cym	52.0	-4.0	Indo-European
cahaazanor		Čäha, Äža, Ənor					
gyato		Gyäto					
masqan	Mesqan	Mäsqan	mesq1240	mvz	8.10617	38.3386	Afro-Asiatic
protoberber	Oto	Proto-Berber	otoo1241				Siouan
judeoarabic	Abé	Judeo-Arabic	abee1242	aba	5.59682	-4.38497	Atlantic-Congo
hatranaramaic	Rama	Hatran Aramaic	rama1270	rma	11.5007	-83.8571	Chibchan
sindhi	Sindhi	Sindhi	sind1272	snd	26.0	69.0	Indo-European
thamudic	U	Thamudic	uuuu1243	uuu	22.6767	101.772	Austroasiatic
awngi	Awngi	Awngi	awng1244	awn	10.9819	36.6916	Afro-Asiatic
zazaki	Zaki	Zazaki	zaki1238				Central Sudanic
northernkurdish	Northern Kurdish	Northern Kurdish	nort2641	kmr	37.0	43.0	Indo-European
malayalam	Malayalam	Malayalam	mala1464	mal	9.59208	76.7651	Dravidian
portuguese	Portuguese	Portuguese	port1283	por	39.91	-8.1	Indo-European
palmyrenearamaic	Rama	Palmyrene Aramaic	rama1270	rma	11.5007	-83.8571	Chibchan
ancientnortharabian	Ancient North Arabian	Ancient North Arabian	anci1245	xna	29.044	39.776	Afro-Asiatic
blin	Bibling	Blin	bibl1237				Austronesian
catalan	Catalan	Catalan	stan1289	cat	41.453	1.569	Indo-European
french	French	French	stan1290	fra	48.0	2.0	Indo-European
jewishpalestinianaramaicjewishliteraryaramaicjewishbabylonianaramaic		Jewish Palestinian Aramaic, Jewish Literary Aramaic, Jewish Babylonian Aramaic					
alaba	Galaba	Alaba	gala1253				Atlantic-Congo
saho	Saho	Saho	saho1246	ssy	14.75	39.75	Afro-Asiatic
syriac	Sô	Syriac	sooo1254	sss	16.9081	105.001	Austroasiatic
kabyle	Kabyle	Kabyle	kaby1243	kab	36.4103	4.76137	Afro-Asiatic
nabataeanaramaic	Ata	Nabataean Aramaic	ataa1240	atm	9.715	122.9	Austronesian
oldaramaic	Rama	Old Aramaic	rama1270	rma	11.5007	-83.8571	Chibchan
dongolawi	Gol	Dongolawi	goll1238				Central Sudanic
javanese	Javanese	Javanese	java1254	jav	-7.001	109.287	Austronesian
sundanese	Sundanese	Sundanese	sund1252	sun	-6.89708	107.106	Austronesian
yemeniarabic	Judeo-Yemeni Arabic	Yemeni Arabic	jude1267	jye	15.0	45.0	Afro-Asiatic
