Grapheme	IPA	Frequence	Codepoints
sh	sh	3	U+0073 U+0068
𐡃	<?>	3	U+0843
ገ	<?>	3	U+1308
ቦ	<?>	3	U+1266
ሃ	<?>	3	U+1203
া	<?>	3	U+09be
𒆕	<?>	3	U+2195
ኮ	<?>	3	U+12ae
چ	<?>	3	U+0686
𒊮	<?>	3	U+22ae
𒍣	<?>	3	U+2363
क	<?>	3	U+0915
ि	<?>	3	U+093f
्	<?>	3	U+094d
𐫃	<?>	3	U+0ac3
ç	ç	3	U+00e7
𐫏	<?>	3	U+0acf
𒆥	<?>	3	U+21a5
լ	<?>	3	U+056c
ի	<?>	3	U+056b
л	<?>	3	U+043b
и	<?>	3	U+0438
к	<?>	3	U+043a
म	<?>	3	U+092e
𐪌	<?>	3	U+0a8c
ሚ	<?>	3	U+121a
ዒ	<?>	3	U+12d2
𒀲	<?>	3	U+2032
𒍑	<?>	3	U+2351
ሀ	<?>	3	U+1200
ሴ	<?>	3	U+1234
ሼ	<?>	3	U+123c
î	î	3	U+00ee
ፋ	<?>	3	U+134b
ս	<?>	3	U+057d
ە	<?>	3	U+06d5
ܼ	<?>	3	U+073c
ሲ	<?>	3	U+1232
𒄴	<?>	3	U+2134
у	<?>	3	U+0443
ন	<?>	3	U+09a8
tt	tt	3	U+0074 U+0074
𐩴	<?>	3	U+0a74
ll	ll	3	U+006c U+006c
𒅇	<?>	3	U+2147
𐎆	<?>	3	U+0386
𐡴	<?>	3	U+0874
𒌓	<?>	3	U+2313
य	<?>	3	U+092f
ዮ	<?>	3	U+12ee
ز	<?>	3	U+0632
ܙ	<?>	3	U+0719
ո	<?>	3	U+0578
𐩷	<?>	3	U+0a77
ࠌ	<?>	3	U+080c
𒅆	<?>	3	U+2146
ዌ	<?>	3	U+12cc
ዖ	<?>	3	U+12d6
𐎏	<?>	3	U+038f
𐩹	<?>	3	U+0a79
ࠋ	<?>	3	U+080b
𒅕	<?>	3	U+2155
ጨ	<?>	3	U+1328
𐡇	<?>	3	U+0847
ܿ	<?>	3	U+073f
ፃ	<?>	3	U+1343
𐎉	<?>	3	U+0389
𒉏	<?>	2	U+224f
ࡒ	<?>	2	U+0852
ቂ	<?>	2	U+1242
ⲃ	<?>	2	U+2c83
ⲣ	<?>	2	U+2ca3
B	<?>	2	U+0042
ey	ey	2	U+0065 U+0079
ɔ̄	ɔ̄	2	U+0254 U+0304
𒎏	<?>	2	U+238f
θ	θ	2	U+03b8
ν	<?>	2	U+03bd
η	<?>	2	U+03b7
ρ	<?>	2	U+03c1
ά	<?>	2	U+03ac
ࠍ	<?>	2	U+080d
ࠠ	<?>	2	U+0820
𒅔	<?>	2	U+2154
ss	ss	2	U+0073 U+0073
ლ	<?>	2	U+10da
ou	ou	2	U+006f U+0075
𐎂	<?>	2	U+0382
ጉ	<?>	2	U+1309
ፐ	<?>	2	U+1350
ጕ	<?>	2	U+1315
ሄ	<?>	2	U+1204
ዲ	<?>	2	U+12f2
ff	ff	2	U+0066 U+0066
𒍪	<?>	2	U+236a
𐤎	<?>	2	U+090e
ք	<?>	2	U+0584
र	<?>	2	U+0930
ा	<?>	2	U+093e
ⲓ	<?>	2	U+2c93
𒀸	<?>	2	U+2038
𐫝	<?>	2	U+0add
𐫗	<?>	2	U+0ad7
𐫡	<?>	2	U+0ae1
𐫀	<?>	2	U+0ac0
𒊊	<?>	2	U+228a
𐡀	<?>	2	U+0840
ⲗ	<?>	2	U+2c97
ⲟ	<?>	2	U+2c9f
bw	bw	2	U+0062 U+0077
𐎍𐎍	<?>	2	U+038d U+038d
м	<?>	2	U+043c
𒄣	<?>	2	U+2123
𒃻	<?>	2	U+20fb
𒋢	<?>	2	U+22e2
μ	<?>	2	U+03bc
σ	<?>	2	U+03c3
κ	<?>	2	U+03ba
կ	<?>	2	U+056f
H	<?>	2	U+0048
ⴰ	<?>	2	U+2d30
ia	ia	2	U+0069 U+0061
əy	əy	2	U+0259 U+0079
𒁮	<?>	2	U+206e
𐤌𐤌	<?>	2	U+090c U+090c
𐪅	<?>	2	U+0a85
ዳ	<?>	2	U+12f3
ֆ	<?>	2	U+0586
پ	<?>	2	U+067e
խ	<?>	2	U+056d
𒍝	<?>	2	U+235d
ኛ	<?>	2	U+129b
র	<?>	2	U+09b0
ዪ	<?>	2	U+12ea
ḡ	ḡ	2	U+1e21
𒋧	<?>	2	U+22e7
𐎙	<?>	2	U+0399
𒂼	<?>	2	U+20bc
rw	rw	2	U+0072 U+0077
mw	mw	2	U+006d U+0077
ਰ	<?>	2	U+0a30
𐡏	<?>	2	U+084f
𐡉	<?>	2	U+0849
ġ	<?>	2	U+0121
ጊ	<?>	2	U+130a
𐤅	<?>	2	U+0905
𐢛	<?>	2	U+089b
𐣣	<?>	2	U+08e3
𐡧	<?>	2	U+0867
ʾɛ	ʾɛ	2	U+02be U+025b
ə́	ə́	2	U+0259 U+0301
𒅀	<?>	2	U+2140
ዔ	<?>	2	U+12d4
bʿ	bʿ	2	U+0062 U+02bf
dd	dd	2	U+0064 U+0064
ጅ	<?>	2	U+1305
أأ	<?>	2	U+0623 U+0623
𐎇	<?>	2	U+0387
թ	<?>	2	U+0569
ፀ	<?>	2	U+1340
ch	ch	2	U+0063 U+0068
ሺ	<?>	2	U+123a
ሡ	<?>	2	U+1221
ŝ	ŝ	2	U+015d
𒎎	<?>	2	U+238e
𐪀	<?>	2	U+0a80
𐤐	<?>	2	U+0910
𒊩	<?>	2	U+22a9
𒆳	<?>	2	U+21b3
უ	<?>	2	U+10e3
ܝܝ	<?>	2	U+071d U+071d
ռ	<?>	2	U+057c
ծ	<?>	2	U+056e
ሱ	<?>	2	U+1231
ḫw	<?>	2	U+1e2b U+0077
ക	<?>	2	U+0d15
്	<?>	2	U+0d4d
ࠄ	<?>	2	U+0804
ࠝ	<?>	2	U+081d
മ	<?>	2	U+0d2e
𒉅	<?>	2	U+2245
ʾí	ʾí	2	U+02be U+00ed
𒋺	<?>	2	U+22fa
𒉻	<?>	2	U+227b
𒈹	<?>	2	U+2239
𐡕	<?>	2	U+0855
𐡌	<?>	2	U+084c
ꜣs	<?>	2	U+a723 U+0073
𐩯	<?>	2	U+0a6f
𐎑	<?>	2	U+0391
𒂠	<?>	2	U+20a0
𒊺	<?>	2	U+22ba
ú	ú	2	U+00fa
𒄖	<?>	2	U+2116
𐤆	<?>	2	U+0906
ó	ó	2	U+00f3
գ	<?>	2	U+0563
ቈ	<?>	2	U+1248
𒀳	<?>	2	U+2033
ׇ	<?>	2	U+05c7
ɣ	ɣ	2	U+0263
𒈫	<?>	2	U+222b
𒄈	<?>	1	U+2108
ⲏ	<?>	1	U+2c8f
ϭ	<?>	1	U+03ed
ü	ü	1	U+00fc
ai	ai	1	U+0061 U+0069
éh	éh	1	U+00e9 U+0068
lʼ	lʼ	1	U+006c U+02bc
lʼh	lʼh	1	U+006c U+02bc U+0068
āʿ	āʿ	1	U+0101 U+02bf
aʿa	aʿa	1	U+0061 U+02bf U+0061
𒁔	<?>	1	U+2054
𒈲	<?>	1	U+2232
β	β	1	U+03b2
ࠐ	<?>	1	U+0810
ࠕ	<?>	1	U+0815
ࠁ	<?>	1	U+0801
ኪ	<?>	1	U+12aa
P	<?>	1	U+0050
W	<?>	1	U+0057
𐌱	<?>	1	U+0331
𐍅	<?>	1	U+0345
𐍃𐍃	<?>	1	U+0343 U+0343
𐌰	<?>	1	U+0330
𐌿	<?>	1	U+033f
𐌽	<?>	1	U+033d
bwss	bwss	1	U+0062 U+0077 U+0073 U+0073
բ	<?>	1	U+0562
հ	<?>	1	U+0570
զ	<?>	1	U+0566
ეე	<?>	1	U+10d4 U+10d4
ჰ	<?>	1	U+10f0
J	<?>	1	U+004a
𐡁𐡁	<?>	1	U+0841 U+0841
ጎ	<?>	1	U+130e
𒄢	<?>	1	U+2122
ደደ	<?>	1	U+12f0 U+12f0
হ	<?>	1	U+09b9
ল	<?>	1	U+09b2
ক	<?>	1	U+0995
ሆ	<?>	1	U+1206
𒀯	<?>	1	U+202f
𐤊𐤊	<?>	1	U+090a U+090a
ዃ	<?>	1	U+12c3
ኾ	<?>	1	U+12be
ક	<?>	1	U+0a95
લ	<?>	1	U+0ab2
્	<?>	1	U+0acd
બ	<?>	1	U+0aac
pp	pp	1	U+0070 U+0070
ካ	<?>	1	U+12ab
𒍜	<?>	1	U+235c
ʔs	ʔs	1	U+0294 U+0073
𒃲	<?>	1	U+20f2
ქ	<?>	1	U+10e5
ं	<?>	1	U+0902
ⲕ	<?>	1	U+2c95
ⲛ	<?>	1	U+2c9b
𐫢	<?>	1	U+0ae2
𐫗𐫗	<?>	1	U+0ad7 U+0ad7
စ	<?>	1	U+1005
ေ	<?>	1	U+1031
ာ	<?>	1	U+102c
င	<?>	1	U+1004
်	<?>	1	U+103a
း	<?>	1	U+1038
ჩ	<?>	1	U+10e9
გ	<?>	1	U+10d2
گ	<?>	1	U+06af
ؤ	<?>	1	U+0624
𐡋	<?>	1	U+084b
𒋃	<?>	1	U+22c3
𒋝	<?>	1	U+22dd
𒇲	<?>	1	U+21f2
𒂖	<?>	1	U+2096
𐤋𐤋	<?>	1	U+090b U+090b
𐩡𐩡	<?>	1	U+0a61 U+0a61
𐩨𐩨	<?>	1	U+0a68 U+0a68
לְ־, ל־, לִ־, לַ־, לֶ־, לָ־	<???>	1	U+05dc U+05b0 U+05be U+002c U+0020 U+05dc U+05be U+002c U+0020 U+05dc U+05b4 U+05be U+002c U+0020 U+05dc U+05b7 U+05be U+002c U+0020 U+05dc U+05b6 U+05be U+002c U+0020 U+05dc U+05b8 U+05be
ल	<?>	1	U+0932
è	è	1	U+00e8
ѐ	<?>	1	U+0450
𐪋	<?>	1	U+0a8b
𒆸	<?>	1	U+21b8
𒆯𒆯	<?>	1	U+21af U+21af
έ	<?>	1	U+03ad
ο	<?>	1	U+03bf
ς	<?>	1	U+03c2
ι	<?>	1	U+03b9
მ	<?>	1	U+10db
შ	<?>	1	U+10e8
კ	<?>	1	U+10d9
ⵎ	<?>	1	U+2d4e
ⵢ	<?>	1	U+2d62
eie	eie	1	U+0065 U+0069 U+0065
ቶ	<?>	1	U+1276
𒌍	<?>	1	U+230d
.	NULL	1	U+002e
bs	bs	1	U+0062 U+0073
ʔw	ʔw	1	U+0294 U+0077
ሂ	<?>	1	U+1202
ä	ä	1	U+00e4
ḫḫ	<?>	1	U+1e2b U+1e2b
ħħ	ħħ	1	U+0127 U+0127
ۆ	<?>	1	U+06c6
ሮ	<?>	1	U+122e
oya	oya	1	U+006f U+0079 U+0061
oyo	oyo	1	U+006f U+0079 U+006f
ܴ̈	<?>	1	U+0734 U+0308
יי	<?>	1	U+05d9 U+05d9
ōh	ōh	1	U+014d U+0068
ა̈	<?>	1	U+10d0 U+0308
𒃸𒃸	<?>	1	U+20f8 U+20f8
ሔ	<?>	1	U+1214
fs	fs	1	U+0066 U+0073
rs	rs	1	U+0072 U+0073
ns	ns	1	U+006e U+0073
տ	<?>	1	U+057f
𒂟	<?>	1	U+209f
ূ	<?>	1	U+09c2
ۇ	<?>	1	U+06c7
𒉾	<?>	1	U+227e
ࡇ	<?>	1	U+0847
ፌ	<?>	1	U+134c
ī́ʾ	ī́ʾ	1	U+012b U+0301 U+02be
𒁓	<?>	1	U+2053
ܒܒ	<?>	1	U+0712 U+0712
በበ	<?>	1	U+1260 U+1260
aya	aya	1	U+0061 U+0079 U+0061
𒊕	<?>	1	U+2295
ਾ	<?>	1	U+0a3e
ਸ	<?>	1	U+0a38
ࡂ	<?>	1	U+0842
𒇯	<?>	1	U+21ef
𒑆	<?>	1	U+2446
ee	ee	1	U+0065 U+0065
M	<?>	1	U+004d
iū	iū	1	U+0069 U+016b
ყ	<?>	1	U+10e7
п	<?>	1	U+043f
қ	<?>	1	U+049b
б	<?>	1	U+0431
ਵ	<?>	1	U+0a35
ਕ	<?>	1	U+0a15
ue	ue	1	U+0075 U+0065
ۋ	<?>	1	U+06cb
𒌚	<?>	1	U+231a
𐢍	<?>	1	U+088d
𐢊	<?>	1	U+088a
𐣩	<?>	1	U+08e9
𐣧	<?>	1	U+08e7
𐡩	<?>	1	U+0869
ʾé	ʾé	1	U+02be U+00e9
kk	kk	1	U+006b U+006b
ea	ea	1	U+0065 U+0061
ɛ̄	ɛ̄	1	U+025b U+0304
ẕ̂	<?>	1	U+1e95 U+0302
ዴ	<?>	1	U+12f4
𒍠	<?>	1	U+2360
ye	ye	1	U+0079 U+0065
ौ	<?>	1	U+094c
इ	<?>	1	U+0907
ş	<?>	1	U+015f
𒅻	<?>	1	U+217b
𒐌	<?>	1	U+240c
𒅁	<?>	1	U+2141
𒂅	<?>	1	U+2085
𒌇	<?>	1	U+2307
ࠔ	<?>	1	U+0814
ࠏ	<?>	1	U+080f
𐎎𐎎	<?>	1	U+038e U+038e
ሻ	<?>	1	U+123b
স	<?>	1	U+09b8
स	<?>	1	U+0938
݇	<?>	1	U+0747
ኖ	<?>	1	U+1296
šaḥ(a)r-	<???>	1	U+0161 U+0061 U+1e25 U+0028 U+0061 U+0029 U+0072 U+002d
𒄘	<?>	1	U+2118
シ	<?>	1	U+30b7
ー	<?>	1	U+30fc
ド	<?>	1	U+30c9
ル	<?>	1	U+30eb
사	<?>	1	U+c0ac
이	<?>	1	U+c774
다	<?>	1	U+b2e4
ei	ei	1	U+0065 U+0069
ርር	<?>	1	U+122d U+122d
𒋳	<?>	1	U+22f3
šu(n)bulat-	<???>	1	U+0161 U+0075 U+0028 U+006e U+0029 U+0062 U+0075 U+006c U+0061 U+0074 U+002d
𒌌	<?>	1	U+230c
𒁼	<?>	1	U+207c
ⵥ	<?>	1	U+2d65
ⵓ	<?>	1	U+2d53
ⵔ	<?>	1	U+2d54
ኤ	<?>	1	U+12a4
𐣠	<?>	1	U+08e0
𐣤	<?>	1	U+08e4
𐣫	<?>	1	U+08eb
ھ	<?>	1	U+06be
jh	jh	1	U+006a U+0068
𒀝	<?>	1	U+201d
ጉጉ	<?>	1	U+1309 U+1309
ኳኳ	<?>	1	U+12b3 U+12b3
ኳ	<?>	1	U+12b3
