ID	DOCULECT	CONCEPT	VALUE	TOKENS	NOTE	COGID
637	Syriac	name; fame, glory; person	šmā		(LSyr. 784, SL 1569)	37
2356	Arabic	name	ˀism-		(Lane 1435)	37
6350	Geez	name	səm		(CDG 504)	37
	PS	new	*ḥdṯ		(CDG 225, Kogan 2015: 33)	38
7920	Akkadian	new	eššu		(CAD E 374, AHw. 258)	38
523	Ugaritic	new	ḥdṯ		(DUL 355)	38
638	Hebrew	new	ḥādāš		(HALOT 294)	38
639	Syriac	new; young	ḥatā		(LSyr. 217, SL 418)	38
100	Arabic	new	ḥadīṯ-		(Lane 529)	38
6355	Geez	new	ḥaddis		(CDG 226)	38
	PS	to cut, to make an incision	*gdd		(Kogan 2015: 33)	39
104	Akkadian	to chop	gadādu		(CAD G 8, AHw. 273)	39
105	Hebrew	to make incisions upon oneself	gdd		(HALOT 177)	39
109	Syriac	to cut off	gdd		(LSyr. 103, SL 204)	39
111	Arabic	to cut, to cut off	ǯdd		(Lane 384)	39
	PS	night	*layliy(-at)-		(CDG 314, Fronzaroli 1965a: 141, 147, 150; Kogan 2011: 196; Kogan 2015: 33)	42
137	Akkadian	evening	līlâtu		(CAD L 184, AHw. 552)	42
1379	Akkadian	to lie down	niālu		(CAD N₁ 204, AHw. 784)	42
524	Ugaritic	night	ll		(DUL 497)	42
640	Hebrew	night	layil		(HALOT 528)	42
641	Syriac	night	lelyā		(LSyr. 366, SL 691)	42
5145	Arabic	night	layl-, laylat-		(Lane 3015)	42
5148	Geez	night	lelit		(CDG 314)	42
	PS	evening	*mušy(-at)-		(CDG 368; Fronzaroli 1965a: 141, 147, 150; Kogan 2011: 196; Kogan 2015: 33)	43
5152	Akkadian	night	mušītu		(CAD M₂ 271, AHw. 683)	43
138	Akkadian	night	mūšu		(CAD M₂ 291, AHw. 687)	43
5153	Arabic	evening	musy-, masāˀ-		(LA 15 325, Lane 3020)	43
5154	Geez	evening	məset, məsyat		(CDG 368)	43
	PS	bone	*ˁaṯ̣m-		(SED I No. 25)	44
5347	Akkadian	bone	eṣemtu		(CAD E 341, AHw. 251)	44
489	Ugaritic	bone	ˁṯ̣m		(DUL 197)	44
1137	Hebrew	bone	ˁäṣäm		(HALOT 869)	44
146	Syriac	flank, thigh; innermost part; family, race	ˁaṭmā		(LSyr. 520, SL 1093)	44
145	Syriac	bone	ṭm		(LSyr. 279, SL 535)	44
6066	Arabic	bone	ˁaḏ̣m-		(BK 2 293, Lanes 2086)	44
5337	Geez	bone	ˁaṣ̂m, ˁaṣm		(CDG 58)	44
	PS	earth	*ˀarṣ̂-		(HALOT 90; Fronzaroli 1965a: 136, 144; Kogan 2011: 189; Kogan 2015: 30)	46
5736	Akkadian	earth	erṣetu		(CAD E 308, AHw. 245)	46
497	Ugaritic	earth	ˀarṣ		(DUL 107)	46
583	Hebrew	earth	ˀäräṣ		(HALOT 90)	46
584	Syriac	earth, land; ground floor; bottom	ˀarˁā		(LSyr. 51, SL 104)	46
4798	Arabic	earth, land	ˀarḍ-		(Lane 48)	46
	PS	soil; soft surface of the earth used for cultivation and as a building material (soil, dust)	*ˁapar-		(Fronzaroli 1968: 270, 287; HALOT 861, Kogan 2011: 189; Kogan 2015: 530)	48
3711	Akkadian	soil	eperu		(CAD E 184, AHw. 222)	48
3712	Ugaritic	soil	ˁpr		(DUL 174)	48
3713	Hebrew	soil	ˁāpār		(HALOT 861)	48
3714	Syriac	dust; earth, soil	ˁaprā		(LSyr. 539, SL 1124)	48
3715	Arabic	soil	ˁafar-		(Lane 2090)	48
4807	Geez	soil	ˀafar		(CDG 10)	48
	PS	to be dark	*γṯy		(Kogan 2015: 34, note 66; Kogan 2001: 266)	49
164	Akkadian	to be troubled, blurred or dark	ešû		(CAD E 378, AHw. 259)	49
165	Arabic	to be clouded; to be confused	γṯy		(Lane 2230)	49
	PS	not	*lā		(HALOT 511, Kogan 2015: 34)	50
6295	Akkadian	no, not	lā		(CAD L 1, AHw. 520)	50
526	Ugaritic	not	l		(DUL 482)	50
643	Hebrew	not	lō(ˀ)		(HALOT 511)	50
644	Syriac	no	lā		(LSyr. 354, SL 665)	50
	PS	one	*ˀaḥad-		(CDG 12, Kogan 2015: 34)	51
527	Ugaritic	one	ˀaḥd		(DUL 32)	51
645	Hebrew	one	ˀäḥād		(HALOT 29)	51
9093	Arabic	one	ˀaḥad-		(Lane 26)	51
6367	Geez	one	ˀaḥadu		(CDG 12)	51
	PS	one (?)	*ˁašt-		(Kogan 2015: 34)	52
167	Akkadian	one	ištēn		(CAD I 275, AHw. 400)	52
168	Ugaritic	one	ˁšt(y)		(DUL 190)	52
169	Hebrew	eleven	ˁaštē ˁāŝār/ˁäŝrē		(HALOT 898)	52
	PS	seed	*ḏarˀ-, *ḏarˁ, *zarˁ-		(CDG 642; Fronzaroli 1969: 9–10, 26, 33; Kogan 2011: 200)	53
3571	Akkadian	seed	zēru		(CAD Z 89, AHw. 1521)	53
530	Ugaritic	seed	drˁ, ḏrˁ		(DUL 280)	53
647	Hebrew	seed; offspring, descendants	zäraˁ		(HALOT 282)	53
648	Syriac	seed; sowing; offspring, family	zarˁā		(LSyr. 207, SL 400)	53
16858	Syriac	seed	bar zarˁā		(LSyr. 92, SL 180)	53
174	Arabic	to sow	ḏrˀ		(Lane 957)	53
175	Arabic	to sow, to cast seed	zrˁ		(Lane 1225)	53
3572	Geez	seed, grain	zarˀ		(CDG 642)	53
23612	Geez	to sow, to seed	zarˀa		(CDG 642)	53
	PS	star	*kabkab-		(CDG 280; Fronzaroli 1965a: 138, 144; Kogan 2011: 193; Kogan 2015: 35)	56
5012	Akkadian	star	kakkabu		(CAD K 45, AHw. 421)	56
534	Ugaritic	star	kbkb		(DUL 427)	56
649	Hebrew	star	kōkāb		(HALOT 463)	56
650	Syriac	star; kind of collyrium	kawkbā		(LSyr. 320, SL 606)	56
5013	Arabic	star	kawkab-		(Lane 2623)	56
5014	Geez	star	kokab		(CDG 280)	56
	PS	sun	*ŝamš-		(HALOT 1589; Fronzaroli 1965a: 137, 144, 149; Kogan 2011: 192–193; Kogan 2015: 35)	57
5007	Akkadian	sun	šamšu		(CAD Š₁ 335, AHw. 1158)	57
536	Ugaritic	sun	špš		(DUL 836)	57
652	Hebrew	sun	šämäš		(HALOT 1589)	57
653	Syriac	sun; type of lizard; gold	šemšā		(LSyr. 788, SL 1576)	57
5004	Arabic	sun	šams-		(Lane 1597)	57
	PS	tail	*ḏanab-		(SED I No. 64)	58
6622	Akkadian	tail, rear part	zibbatu		(CAD Z 100, AHw. 1523)	58
576	Ugaritic	tail	ḏnb		(DUL 288)	58
654	Hebrew	tail	zānāb		(HALOT 274)	58
663	Syriac	tail; farthest part	dunbā		(LSyr. 159, SL 284)	58
6632	Arabic	tail	ḏanab­-		(Lane 980, BK 1 784)	58
6628	Geez	tail, anus	zanab		(CDG 640)	58
	PS	this, that; the one who/which/that	*ḏV		(CDG 629, Kogan 2009:71, Kogan 2015:35)	59
21110	Ugaritic	the one(s) of; who, whom, he who; the (one) who/which/that (determinative/relative functor, masc. sg.)	d		(DUL 254)	59
21114	Ugaritic	the one(s) of; who, whom, he who; the (one) who/which/that (determinative/relative functor, fem. sg.)	dt		(DUL 254)	59
21115	Ugaritic	the one(s) of; who, whom, he who; the (one) who/which/that (determinative/relative functor, pl.)	dt		(DUL 254)	59
18863	Hebrew	that (man) there	hallāzǟ		(HALOT 246)	59
689	Hebrew	this	zǟ		(HALOT 263)	59
21113	Arabic	who, which (relative pronoun, masc. sg.)	ˀallaḏī		(BK I 57)	59
19043	Arabic	that	ḏāka		(Lane 947)	59
19046	Arabic	that	ḏālika		(Lane 947)	59
19047	Arabic	that	ḏānika		(Lane 947)	59
18864	Arabic	this (masc.)	hāḏā		(Lane 947)	59
18865	Arabic	this (fem.)	hāḏī		(Lane 947)	59
21095	Geez	this (fem.)	zā		(CDG 629)	59
21111	Geez	who, that, which (relative pronoun, masc. sg.)	za		(CDG 629)	59
18861	Geez	this (masc.)	zə		(CDG 629)	59
19044	Geez	that (masc.)	zəkku		(CDG 635)	59
19045	Geez	that (masc.)	zəktu/zəkʷtu		(CDG 636)	59
18054	Geez	this, this one (masc.)	zəntu		(CDG 641)	59
18072	Geez	this (fem.)	zātti		(CDG 645)	59
	PS	(deictic element)	*hanni-		(Tropper 2001a:17, Kogan 2015: 35)	60
195	Akkadian	this	annû		(CAD A₂ 136, AHw. 53)	60
537	Ugaritic	this	hnd		(DUL 344)	60
690	Syriac	this	hānnā		(LSyr. 178, SL 346)	60
	PS	thou (masc. sg.)	*ˀantā̆		(CDG 32, Kogan 2009:66, Kogan 2015: 35)	61
7893	Akkadian	you	atta		(CAD A₂ 502, AHw. 87)	61
538	Ugaritic	thou	ˀat		(DUL 120)	61
664	Hebrew	you (masc. sing.)	ˀattā		(HALOT 102)	61
665	Syriac	you (sg.)	ˀat		(LSyr. 31, SL 66)	61
21453	Arabic	thou (masc.)	ˀanta		(Lane 104)	61
6633	Geez	you	ˀanta		(CDG 32)	61
	PS	tongue	*liš(š)ān-		(SED I No. 181)	62
6634	Akkadian	tongue, language	lišānu		(CAD L 209, AHw. 556)	62
539	Ugaritic	tongue	lšn		(DUL 506)	62
666	Hebrew	tongue, language	lāšōn		(HALOT 536)	62
667	Syriac	tongue, language, spit of land	leššānā		(LSyr. 371, SL 698)	62
4857	Arabic	tongue	lisān-		(Lane 3010)	62
6647	Geez	tongue, language	lǝssān		(CDG 318)	62
	PS	to lick	*lḥš		(CDG 311)	63
7923	Akkadian	to taste, to lick	lâšu		(CAD L 111, AHw. 540)	63
16184	Arabic	to lick	lḥs		(Lane 2654)	63
	PS	tooth	*šinn-		(SED I No. 249)	64
7939	Akkadian	tooth	šinnu		(CAD Š₃ 48, AHw. 1243)	64
540	Ugaritic	tooth	šn		(DUL 832)	64
668	Hebrew	tooth	šēn		(HALOT 1593)	64
669	Syriac	tooth	šennā		(LSyr. 789, SL 1577)	64
17806	Arabic	tooth	sinn-		(Lane 1437, BK 1 1147)	64
6397	Geez	tooth	sənn		(CDG 504)	64
	PS	molar tooth	*ṣ̂irš-		(SED I No. 275, Appleyard 1977:17)	65
6879	Akkadian	protuberance	ṣiršu		(CAD Ṣ 209, AHw. 1093)	65
6880	Akkadian	to grow shoots, branches	ṣurrušu		(CAD Ṣ 260, AHw. 1115)	65
6677	Syriac	molar tooth	ˁaršā		(LSyr. 551, SL 1144)	65
4874	Arabic	tooth; molar	ḍirs-		(Lane 1785)	65
4875	Geez	molar tooth	ṣ̂ərs		(CDG 153, LLA 1328)	65
	PS	canine tooth	*nayab-		(SED I No. 203)	66
8600	Akkadian	floating rib or cartilage at the tip of the rib	nayabtu		(CAD N₁ 151, AHw. 717)	66
	PS	two	*ṯin-ā		(HALOT 1605, Kogan 2015:36)	67
7943	Akkadian	two	šina		(CAD Š₃ 32, AHw. 1241)	67
542	Ugaritic	two	ṯn		(DUL 186)	67
670	Hebrew	two	šənayim		(HALOT 1605)	67
671	Syriac	two	tren		(LSyr. 834, SL 1666)	67
9094	Arabic	two	ˀiṯnāⁿ		(Lane 359)	67
5873	Geez	the next day	sānəy		(CDG 509)	67
	PS	both	*kilˀ-		(CDG 282)	69
5870	Akkadian	both	kilallān		(CAD K 353, AHw. 475)	69
5871	Hebrew	both	kilˀayim		(HALOT 475)	69
9168	Arabic	both	kilā		(WKAS K 286)	69
	PS	water	*mā̆y-		(CDG 376, Fronzaroli 1965a: 140, 146; Kogan 2011: 191; Kogan 2015: 36)	71
7927	Akkadian	water	mû		(CAD M₂ 149, AHw. 664)	71
544	Ugaritic	water	my		(DUL 535)	71
672	Hebrew	water	mayim		(HALOT 576)	71
673	Syriac	water; mail semen, menstrual fluid; urine	mayyā		(LSyr. 383, SL 750)	71
4923	Arabic	water	māˀ-, māh-		(Lane 3025)	71
4945	Geez	water	māy		(CDG 376)	71
	PS	we	*niḥnū̆/niḥnā̆		(Kogan 2009:67, CDG 395)	72
7928	Akkadian	we	nīnu		(CAD N₂ 239, AHw. 791)	72
674	Hebrew	we	ˀănaḥnū		(HALOT 71)	72
675	Syriac	we	ḥnan		(LSyr. 242, SL 472)	72
18079	Arabic	we	ˀiḥnā		(BK I 19)	72
18078	Arabic	we	naḥnu		(BK II 1217)	72
6406	Geez	we	nəḥna		(CDG 395)	72
	PS	who?	*mann-		(CDG 348, Kogan 2009:72)	75
7924	Akkadian	who	mannu		(CAD M₁ 213, AHw. 603)	75
17341	Syriac	who?	man		(LSyr. 393, SL 778)	75
18855	Arabic	who?	man		(BK II 1154, Lane 3024)	75
6412	Geez	who	mannu		(CDG 348)	75
	PS	bark	*ḳVlp-at-		(Kogan 2015:37)	78
23743	Akkadian	skin, peel (of a fruit)	ḳilpu		(CAD ḳ 251, AHw 921)	78
217	Akkadian	scale, scaly skin, tortoise shell; husk, rind, bark, peel	ḳuliptu		(CAD Q 296, AHw. 926)	78
23744	Syriac	cortex, squama, putamen	ḳəlāpətā		(LSyr. 670)	78
218	Syriac	bark, shell, scale, peel	ḳlāptā		(LSyr. 670, SL 1375)	78
222	Arabic	ˀalqišr (bark, peel)	qilf-, qulāfat-		(LA 9 347)	78
240	Geez	to peel, decorticate	ḳʷalafa		(CDG 427)	78
	PS	belly, stomach	*kariŝ-		(Kogan 2015:38)	82
242	Akkadian	stomach, belly, womb, body; mind, heart, desire; inner or lower side	karšu		(CAD K 223, AHw. 450)	82
23402	Hebrew	belly	*kārēŝ		(HALOT 500)	82
243	Syriac	belly, stomach; womb, uterus	karsā		(LSyr. 347, SL 655)	82
23404	Arabic	ventricle, stomach, belly, uterus; stomach (of animals, esp. ruminant)	kariš-, kirš-		(BK 2 885, WKAS I 129)	82
249	Geez	belly, stomach, womb, abdomen; interior (of ship, ark, vessel)	karŝ		(CDG 294)	82
	PS	fire	*ˀiš(-āt)-		(Fronzaroli 1965a: 138, 145, 149; Kogan 2011: 194–195; Kogan 2015: 39; HALOT 92, CDG 44)	85
287	Akkadian	fire; abscess, inflammation	išātu		(CAD I 227, AHw. 392)	85
501	Ugaritic	fire	ˀišt		(DUL 119)	85
589	Hebrew	fire	ˀēš		(HALOT 92)	85
289	Geez	fire	ˀəsāt		(CDG 44)	85
	PS	to be bright, to shine	*nwr		(Fronzaroli 1965a: 138, 144; Kogan 2011: 195; Kogan 2015: 39)	86
5113	Akkadian	to be bright, to shine	nawāru		(CAD N₁ 209, AHw. 768)	86
5115	Ugaritic	light	nr		(DUL 642)	86
5117	Hebrew	light	nēr		(HALOT 723)	86
290	Syriac	fire, conflagration	nūrā		(LSyr. 421, SL 904)	86
296	Arabic	fire	nār-		(Lane 2865)	86
5114	Arabic	to be bright, to shine	nwr		(Lane 2864)	86
	PS	green	*wrḳ		(Kogan 2015:39)	87
298	Akkadian	yellow, green (as a natural color)	warḳu		(CAD A₂ 300, AHw. 1471)	87
578	Ugaritic	yellow	yrḳ		(DUL 982)	87
615	Hebrew	green, greenery	yārōḳ		(HALOT 437)	87
5212	Hebrew	greenish, palegreen	yəraḳraḳ		(HALOT 441)	87
299	Syriac	green, livid; herbs, vegetables; egg yolk	yurrāḳā		(LSyr. 309, SL 570)	87
5214	Arabic	ashcolored	ˀawraq-		(Lane 3052)	87
5215	Arabic	leaf	waraq-		(Lane 3052)	87
5218	Arabic	silver coins	warq-, wariq-		(Lane 3051)	87
5217	Geez	gold	warḳ		(CDG 618)	87
	PS	straw, grass	*ŝaˁr-		(Kogan 2015: 40 n. 87, 199)	88
7966	Geez	herb, grass, vegetation, straw	ŝāˁr		(CDG 525)	88
	PS	to know	*wdˁ, *ydˁ		(Kogan 2015:40)	90
